solar_reward,grid_battery_reward,solar_battery_reward,soc,soc_grid,soc_solar,curr_lmp,net_load,a,total_rwd
0.00,-1067.24,0.00,23.25,23.25,0.00,41.56,-25.00,2,-1.07e+03
0.01,898.62,0.01,0.00,0.00,0.00,40.13,21.62,0,-1.69e+02
0.00,-1003.24,0.00,23.25,23.25,0.00,39.25,-25.00,2,-1.17e+03
0.00,-981.24,0.00,46.50,46.50,0.00,41.87,-25.00,2,-2.15e+03
9.44,973.47,0.01,21.50,21.50,0.00,41.78,23.70,0,-1.17e+03
0.00,-1035.08,0.00,44.75,44.54,0.21,41.27,-24.77,2,-2.21e+03
9.30,951.48,8.05,19.75,19.75,0.00,40.23,23.70,0,-1.24e+03
0.00,-996.68,0.00,43.00,42.79,0.21,40.87,-24.77,2,-2.23e+03
84.51,942.26,7.97,18.00,18.00,0.00,40.79,27.39,0,-1.20e+03
0.00,-935.41,0.00,41.25,39.33,1.92,40.68,-22.93,2,-2.13e+03
84.11,873.06,72.75,16.25,16.25,0.00,39.76,27.39,0,-1.10e+03
0.00,-911.79,0.00,39.50,37.58,1.92,40.10,-22.93,2,-2.02e+03
175.71,860.61,71.71,14.50,14.50,0.00,40.36,32.01,0,-9.08e+02
176.85,544.25,0.01,0.00,0.00,0.00,40.89,22.25,0,-1.87e+02
179.17,0.00,0.00,0.00,0.00,0.00,41.44,8.76,0,-7.33e+00
181.58,0.00,0.00,0.00,0.00,0.00,42.38,8.76,0,1.74e+02
221.70,0.00,0.00,0.00,0.00,0.00,43.33,10.46,0,3.96e+02
226.67,0.00,0.00,0.00,0.00,0.00,46.24,10.46,0,6.23e+02
241.90,0.00,0.00,0.00,0.00,0.00,51.93,10.46,0,8.65e+02
271.66,0.00,0.00,0.00,0.00,0.00,49.26,10.46,0,1.14e+03
265.79,0.00,0.00,0.00,0.00,0.00,51.48,10.79,0,1.40e+03
277.77,0.00,0.00,0.00,0.00,0.00,48.78,10.79,0,1.68e+03
263.20,0.00,0.00,0.00,0.00,0.00,43.24,10.79,0,1.94e+03
233.31,0.00,0.00,0.00,0.00,0.00,42.45,10.79,0,2.18e+03
0.00,-823.00,0.00,23.25,18.03,5.22,37.29,-19.39,2,1.35e+03
0.00,-722.96,0.00,46.50,36.06,10.44,29.54,-19.39,2,6.30e+02
0.00,-572.71,0.00,69.75,54.09,15.66,17.57,-19.39,2,5.76e+01
0.00,-340.64,0.00,93.00,72.12,20.88,21.96,-19.39,2,-2.83e+02
0.00,-420.59,0.00,116.25,89.93,26.32,15.78,-19.15,2,-7.04e+02
0.00,-302.23,0.00,139.50,107.75,31.75,16.82,-19.15,2,-1.01e+03
0.00,-322.15,0.00,162.75,125.56,37.19,11.77,-19.15,2,-1.33e+03
0.00,-225.43,0.00,186.00,143.37,42.63,19.84,-19.15,2,-1.55e+03
0.00,-378.94,0.00,209.25,161.13,48.12,19.97,-19.10,2,-1.93e+03
0.00,-381.42,0.00,232.50,178.89,53.61,18.58,-19.10,2,-2.31e+03
0.00,-354.87,0.00,255.75,196.66,59.09,22.55,-19.10,2,-2.67e+03
0.00,-430.70,0.00,279.00,214.42,64.58,23.78,-19.10,2,-3.10e+03
0.00,-462.33,0.00,302.25,232.50,69.75,21.51,-19.44,2,-3.56e+03
0.00,-418.19,0.00,325.50,250.58,74.92,24.37,-19.44,2,-3.98e+03
0.00,-473.80,0.00,348.75,268.66,80.09,25.37,-19.44,2,-4.45e+03
0.00,-493.24,0.00,372.00,286.74,85.26,25.31,-19.44,2,-4.95e+03
0.00,-501.74,0.00,394.86,304.79,90.07,23.11,-19.82,2,-5.45e+03
0.00,-8.61,0.00,399.61,304.73,94.88,31.51,-0.37,2,-5.46e+03
137.75,-0.00,0.00,399.94,304.38,95.56,33.79,4.37,2,-5.32e+03
174.91,566.42,219.19,374.53,286.36,88.17,26.15,33.60,0,-4.36e+03
0.00,-531.07,0.00,397.39,305.24,92.14,33.97,-20.31,2,-4.89e+03
159.37,583.60,206.20,371.97,286.36,85.62,37.26,32.63,0,-3.94e+03
174.80,687.18,179.12,346.59,266.50,80.09,36.36,32.63,0,-2.90e+03
