solar_reward,grid_battery_reward,solar_battery_reward,soc,soc_grid,soc_solar,curr_lmp,net_load,a,total_rwd
0.96,0.00,0.00,0.00,0.00,0.00,41.20,0.04,1,9.57e-01
0.93,0.00,0.00,0.00,0.00,0.00,39.92,0.04,1,1.88e+00
0.90,0.00,0.00,0.00,0.00,0.00,38.86,0.04,1,2.78e+00
0.87,0.00,0.00,0.00,0.00,0.00,41.83,0.04,1,3.65e+00
12.85,0.00,0.00,0.00,0.00,0.00,41.82,0.61,1,1.65e+01
12.85,0.00,0.00,0.00,0.00,0.00,41.67,0.61,1,2.94e+01
12.81,0.00,0.00,0.00,0.00,0.00,40.79,0.61,1,4.22e+01
12.53,0.00,0.00,0.00,0.00,0.00,41.73,0.61,1,5.47e+01
296.05,0.00,0.00,0.00,0.00,0.00,41.71,14.19,1,3.51e+02
295.90,0.00,0.00,0.00,0.00,0.00,41.63,14.19,1,6.47e+02
295.34,0.00,0.00,0.00,0.00,0.00,40.72,14.19,1,9.42e+02
288.88,0.00,0.00,0.00,0.00,0.00,40.92,14.19,1,1.23e+03
601.62,0.00,0.00,0.00,0.00,0.00,41.13,29.40,1,1.83e+03
604.71,0.00,0.00,0.00,0.00,0.00,41.63,29.40,1,2.44e+03
612.06,0.00,0.00,0.00,0.00,0.00,42.20,29.40,1,3.05e+03
620.44,0.00,0.00,0.00,0.00,0.00,42.78,29.40,1,3.67e+03
0.00,-375.27,0.00,23.25,8.16,15.09,44.11,-8.77,2,3.29e+03
0.00,-386.94,0.00,46.50,16.32,30.18,47.23,-8.77,2,2.91e+03
0.00,-414.31,0.00,69.75,24.47,45.28,53.54,-8.77,2,2.49e+03
0.00,-469.66,0.00,93.00,32.63,60.37,50.27,-8.77,2,2.02e+03
0.00,-410.39,0.00,116.25,40.22,76.03,53.03,-8.16,2,1.61e+03
892.83,0.00,0.00,116.25,40.22,76.03,50.60,33.67,1,2.51e+03
851.92,0.00,0.00,116.25,40.22,76.03,45.19,33.67,1,3.36e+03
0.00,-368.91,0.00,139.50,47.82,91.68,42.46,-8.16,2,2.99e+03
719.23,0.00,0.00,139.50,47.82,91.68,42.84,33.88,1,3.71e+03
725.67,0.00,0.00,139.50,47.82,91.68,41.31,33.88,1,4.43e+03
699.75,0.00,0.00,139.50,47.82,91.68,40.76,33.88,1,5.13e+03
690.43,0.00,0.00,139.50,47.82,91.68,36.40,33.88,1,5.82e+03
620.04,0.00,0.00,139.50,47.82,91.68,49.60,34.07,1,6.44e+03
844.89,0.00,0.00,139.50,47.82,91.68,42.34,34.07,1,7.29e+03
721.22,0.00,0.00,139.50,47.82,91.68,52.24,34.07,1,8.01e+03
889.86,0.00,0.00,139.50,47.82,91.68,40.19,34.07,1,8.90e+03
683.40,0.00,0.00,139.50,47.82,91.68,40.46,34.01,1,9.58e+03
687.99,0.00,0.00,139.50,47.82,91.68,39.73,34.01,1,1.03e+04
675.58,0.00,0.00,139.50,47.82,91.68,30.88,34.01,1,1.09e+04
525.09,0.00,0.00,139.50,47.82,91.68,28.60,34.01,1,1.15e+04
0.00,-233.92,0.00,162.75,55.42,107.33,31.72,-8.18,2,1.12e+04
0.00,-259.44,0.00,186.00,63.03,122.97,27.69,-8.18,2,1.10e+04
