solar_reward,grid_reward,soc,curr_lmp,net_load,a,total_rwd
0.00,-1136.25,25.00,45.14,-25.00,2,-1.14e+03
0.00,-1128.50,50.00,44.15,-25.00,2,-2.26e+03
0.00,-1103.75,75.00,33.45,-25.00,2,-3.37e+03
0.00,-836.25,100.00,45.23,-25.00,2,-4.20e+03
0.00,-1130.75,125.00,45.25,-25.00,2,-5.34e+03
0.00,-1131.25,150.00,44.99,-25.00,2,-6.47e+03
0.00,-1124.75,175.00,34.29,-25.00,2,-7.59e+03
0.00,-857.25,200.00,44.44,-25.00,2,-8.45e+03
0.00,-1111.00,225.00,41.59,-25.00,2,-9.56e+03
0.00,-1039.75,250.00,43.93,-25.00,2,-1.06e+04
0.00,-1098.25,275.00,38.38,-25.00,2,-1.17e+04
0.00,-959.50,300.00,40.06,-25.00,2,-1.27e+04
0.00,-1001.50,325.00,46.71,-25.00,2,-1.37e+04
0.00,-1167.75,350.00,50.51,-25.00,2,-1.48e+04
0.00,-1262.75,375.00,51.97,-25.00,2,-1.61e+04
0.00,-1299.25,400.00,45.92,-25.00,2,-1.74e+04
0.00,-0.00,400.00,61.02,0.00,2,-1.74e+04
0.00,-0.00,400.00,70.74,0.00,2,-1.74e+04
0.00,1768.50,375.00,70.65,25.00,0,-1.56e+04
0.00,1766.25,350.00,74.36,25.00,0,-1.39e+04
0.00,1859.00,325.00,76.27,25.00,0,-1.20e+04
0.00,1906.75,300.00,85.83,25.00,0,-1.01e+04
0.00,2145.75,275.00,77.71,25.00,0,-7.94e+03
0.00,1942.75,250.00,83.68,25.00,0,-6.00e+03
0.00,2092.00,225.00,76.87,25.00,0,-3.91e+03
0.00,1921.75,200.00,55.29,25.00,0,-1.99e+03
0.00,-1382.25,225.00,31.71,-25.00,2,-3.37e+03
0.00,-792.75,250.00,44.76,-25.00,2,-4.16e+03
0.00,-1119.00,275.00,19.69,-25.00,2,-5.28e+03
0.00,-492.25,300.00,9.76,-25.00,2,-5.77e+03
0.00,-244.00,325.00,-0.01,-25.00,2,-6.02e+03
-0.00,0.25,350.00,0.48,-25.00,2,-6.02e+03
0.00,-12.00,375.00,-0.27,-25.00,2,-6.03e+03
-0.00,6.75,400.00,-2.49,-25.00,2,-6.02e+03
-0.00,0.00,400.00,-10.99,0.00,2,-6.02e+03
-0.00,0.00,400.00,-7.47,0.00,2,-6.02e+03
-0.00,0.00,400.00,-10.84,0.00,2,-6.02e+03
-0.00,0.00,400.00,-15.30,0.00,2,-6.02e+03
-0.00,0.00,400.00,-16.66,0.00,2,-6.02e+03
-0.00,0.00,400.00,-16.36,0.00,2,-6.02e+03
-0.00,0.00,400.00,-17.89,0.00,2,-6.02e+03
-0.00,0.00,400.00,-19.25,0.00,2,-6.02e+03
-0.00,0.00,400.00,-19.58,0.00,2,-6.02e+03
-0.00,0.00,400.00,-19.66,0.00,2,-6.02e+03
-0.00,0.00,400.00,-19.65,0.00,2,-6.02e+03
-0.00,0.00,400.00,-23.55,0.00,2,-6.02e+03
-0.00,0.00,400.00,-30.82,0.00,2,-6.02e+03
-0.00,0.00,400.00,-30.75,0.00,2,-6.02e+03
-0.00,0.00,400.00,-31.39,0.00,2,-6.02e+03
-0.00,0.00,400.00,-33.09,0.00,2,-6.02e+03
-0.00,0.00,400.00,-40.51,0.00,2,-6.02e+03
-0.00,0.00,400.00,-30.79,0.00,2,-6.02e+03
-0.00,0.00,400.00,-31.42,0.00,2,-6.02e+03
-0.00,0.00,400.00,-30.98,0.00,2,-6.02e+03
-0.00,0.00,400.00,-40.56,0.00,2,-6.02e+03
-0.00,0.00,400.00,-33.43,0.00,2,-6.02e+03
-0.00,0.00,400.00,-29.01,0.00,2,-6.02e+03
-0.00,0.00,400.00,-24.55,0.00,2,-6.02e+03
-0.00,0.00,400.00,-27.67,0.00,2,-6.02e+03
-0.00,0.00,400.00,-23.63,0.00,2,-6.02e+03
-0.00,0.00,400.00,-19.99,0.00,2,-6.02e+03
-0.00,0.00,400.00,-18.71,0.00,2,-6.02e+03
-0.00,0.00,400.00,-15.67,0.00,2,-6.02e+03
-0.00,0.00,400.00,-15.21,0.00,2,-6.02e+03
-0.00,0.00,400.00,-2.86,0.00,2,-6.02e+03
-0.00,0.00,400.00,0.26,0.00,2,-6.02e+03
0.00,-0.00,400.00,38.19,0.00,2,-6.02e+03
0.00,-0.00,400.00,24.43,0.00,2,-6.02e+03
0.00,-0.00,400.00,37.13,0.00,2,-6.02e+03
0.00,-0.00,400.00,59.06,0.00,2,-6.02e+03
0.00,-0.00,400.00,79.23,0.00,2,-6.02e+03
0.00,1980.75,375.00,77.01,25.00,0,-4.04e+03
0.00,1925.25,350.00,80.43,25.00,0,-2.12e+03
0.00,2010.75,325.00,85.79,25.00,0,-1.04e+02
0.00,2144.75,300.00,91.69,25.00,0,2.04e+03
0.00,2292.25,275.00,105.44,25.00,0,4.33e+03
0.00,2636.00,250.00,93.34,25.00,0,6.97e+03
0.00,2333.50,225.00,88.78,25.00,0,9.30e+03
0.00,2219.50,200.00,72.48,25.00,0,1.15e+04
0.00,1812.00,175.00,78.71,25.00,0,1.33e+04
0.00,1967.75,150.00,71.53,25.00,0,1.53e+04
0.00,1788.25,125.00,66.24,25.00,0,1.71e+04
0.00,-1656.00,150.00,55.72,-25.00,2,1.54e+04
0.00,-1393.00,175.00,73.56,-25.00,2,1.40e+04
0.00,1839.00,150.00,69.95,25.00,0,1.59e+04
0.00,1748.75,125.00,64.32,25.00,0,1.76e+04
0.00,-1608.00,150.00,53.06,-25.00,2,1.60e+04
0.00,-1326.50,175.00,70.18,-25.00,2,1.47e+04
0.00,1754.50,150.00,62.14,25.00,0,1.64e+04
0.00,-1553.50,175.00,59.19,-25.00,2,1.49e+04
0.00,-1479.75,200.00,54.77,-25.00,2,1.34e+04
0.00,-1369.25,225.00,68.92,-25.00,2,1.20e+04
0.00,-0.00,225.00,68.30,0.00,1,1.20e+04
0.00,-0.00,225.00,67.70,0.00,1,1.20e+04
0.00,-0.00,225.00,53.02,0.00,1,1.20e+04
0.00,-1325.50,250.00,61.90,-25.00,2,1.07e+04
0.00,-1547.50,275.00,64.70,-25.00,2,9.17e+03
0.00,-1617.50,300.00,64.70,-25.00,2,7.56e+03
0.00,-1617.50,325.00,53.90,-25.00,2,5.94e+03
0.00,-1347.50,350.00,64.64,-25.00,2,4.59e+03
0.00,-1616.00,375.00,64.64,-25.00,2,2.97e+03
0.00,-1616.00,400.00,66.81,-25.00,2,1.36e+03
0.00,-0.00,400.00,54.65,0.00,2,1.36e+03
0.00,-0.00,400.00,63.66,0.00,2,1.36e+03
0.00,-0.00,400.00,67.14,0.00,2,1.36e+03
0.00,-0.00,400.00,67.21,0.00,1,1.36e+03
