solar_reward,grid_reward,soc,curr_lmp,net_load,a,total_rwd
0.00,-1181.00,25.00,46.90,-25.00,2,-1.18e+03
0.00,-1172.50,50.00,45.95,-25.00,2,-2.35e+03
0.00,1148.75,25.00,34.77,25.00,0,-1.20e+03
0.00,-869.25,50.00,46.67,-25.00,2,-2.07e+03
0.00,1166.75,25.00,46.72,25.00,0,-9.07e+02
0.00,1168.00,0.00,46.67,25.00,0,2.61e+02
0.00,0.00,0.00,35.71,0.00,0,2.61e+02
0.00,0.00,0.00,46.12,0.00,0,2.61e+02
0.00,0.00,0.00,43.35,0.00,0,2.61e+02
0.00,0.00,0.00,45.78,0.00,0,2.61e+02
0.00,0.00,0.00,40.04,0.00,0,2.61e+02
0.00,0.00,0.00,41.77,0.00,0,2.61e+02
0.00,0.00,0.00,48.53,0.00,0,2.61e+02
0.00,0.00,0.00,52.22,0.00,0,2.61e+02
0.00,0.00,0.00,53.91,0.00,0,2.61e+02
0.00,0.00,0.00,47.49,0.00,0,2.61e+02
0.00,0.00,0.00,62.44,0.00,0,2.61e+02
0.00,0.00,0.00,72.63,0.00,0,2.61e+02
0.00,0.00,0.00,72.42,0.00,0,2.61e+02
0.00,0.00,0.00,74.52,0.00,0,2.61e+02
0.00,0.00,0.00,75.85,0.00,0,2.61e+02
0.00,0.00,0.00,86.11,0.00,0,2.61e+02
0.00,0.00,0.00,78.94,0.00,0,2.61e+02
0.00,0.00,0.00,83.68,0.00,0,2.61e+02
249.50,0.00,0.00,76.87,5.96,0,5.10e+02
229.20,0.00,0.00,55.29,5.96,0,7.39e+02
164.85,0.00,0.00,31.71,5.96,0,9.04e+02
0.00,-698.20,25.00,50.62,-22.02,2,2.06e+02
0.00,-707.03,50.00,45.67,-13.97,2,-5.01e+02
0.00,-637.89,75.00,48.74,-13.97,2,-1.14e+03
0.00,-680.77,100.00,-0.01,-13.97,2,-1.82e+03
-0.00,0.14,125.00,152.42,-13.97,2,-1.82e+03
2163.93,3810.50,100.00,47.28,53.39,0,4.15e+03
0.00,-510.76,125.00,26.51,-10.80,2,3.64e+03
0.00,-286.38,150.00,-7.64,-10.80,2,3.36e+03
-0.00,82.53,175.00,32.44,-10.80,2,3.44e+03
0.00,-484.78,200.00,3.25,-14.94,2,2.96e+03
0.00,-48.57,225.00,-16.55,-14.94,2,2.91e+03
-0.00,247.32,250.00,-17.83,-14.94,2,3.15e+03
-0.00,266.45,275.00,-17.52,-14.94,2,3.42e+03
-0.00,295.64,300.00,-19.14,-16.87,2,3.72e+03
-0.00,322.98,325.00,-20.60,-16.87,2,4.04e+03
-0.00,347.61,350.00,-20.93,-16.87,2,4.39e+03
-0.00,353.18,375.00,-20.98,-16.87,2,4.74e+03
-0.00,399.63,400.00,-20.95,-19.05,2,5.14e+03
-124.69,0.00,400.00,-25.07,11.90,2,5.02e+03
-149.21,0.00,400.00,-32.71,11.90,2,4.87e+03
-194.68,0.00,400.00,-32.72,11.90,2,4.67e+03
-171.25,0.00,400.00,-33.41,10.47,2,4.50e+03
-174.86,0.00,400.00,-35.36,10.47,2,4.33e+03
-185.06,0.00,400.00,-43.23,10.47,2,4.14e+03
-226.25,0.00,400.00,-32.91,10.47,2,3.91e+03
-159.93,0.00,400.00,-33.56,9.72,2,3.75e+03
-163.09,0.00,400.00,-33.04,9.72,2,3.59e+03
-160.56,0.00,400.00,-43.39,9.72,2,3.43e+03
-210.86,0.00,400.00,-35.89,9.72,2,3.22e+03
-191.95,0.00,400.00,-31.07,10.70,2,3.03e+03
-166.17,0.00,400.00,-26.31,10.70,2,2.86e+03
-140.71,0.00,400.00,-29.61,10.70,2,2.72e+03
-158.36,0.00,400.00,-25.16,10.70,2,2.56e+03
-204.26,0.00,400.00,-21.37,16.24,2,2.36e+03
-173.49,0.00,400.00,-20.05,16.24,2,2.18e+03
-162.78,0.00,400.00,-16.58,16.24,2,2.02e+03
-134.61,0.00,400.00,-16.24,16.24,2,1.89e+03
-184.75,0.00,400.00,-3.07,22.75,2,1.70e+03
-34.93,0.00,400.00,0.28,22.75,2,1.67e+03
3.19,-0.00,400.00,40.81,22.75,2,1.67e+03
464.27,-0.00,400.00,25.28,22.75,2,2.13e+03
126.56,-0.00,400.00,38.44,10.01,2,2.26e+03
192.45,-0.00,400.00,60.64,10.01,2,2.45e+03
303.59,-0.00,400.00,81.76,10.01,2,2.76e+03
409.33,2044.00,375.00,77.76,35.01,0,5.21e+03
2.04,1944.00,350.00,81.45,25.05,0,7.16e+03
2.13,2036.25,325.00,86.97,25.05,0,9.20e+03
2.28,2174.25,300.00,93.87,25.05,0,1.14e+04
2.46,2346.75,275.00,108.43,25.05,0,1.37e+04
0.00,2710.75,250.00,96.06,25.00,0,1.64e+04
0.00,2401.50,225.00,91.51,25.00,0,1.88e+04
0.00,2287.75,200.00,73.64,25.00,0,2.11e+04
0.00,1841.00,175.00,82.07,25.00,0,2.30e+04
0.00,2051.75,150.00,74.22,25.00,0,2.50e+04
0.00,1855.50,125.00,68.44,25.00,0,2.69e+04
0.00,1711.00,100.00,57.37,25.00,0,2.86e+04
0.00,1434.25,75.00,77.22,25.00,0,3.00e+04
0.00,1930.50,50.00,73.02,25.00,0,3.19e+04
0.00,1825.50,25.00,66.62,25.00,0,3.38e+04
0.00,1665.50,0.00,55.42,25.00,0,3.54e+04
0.00,-1385.50,25.00,72.68,-25.00,2,3.41e+04
0.00,1817.00,0.00,63.86,25.00,0,3.59e+04
0.00,0.00,0.00,60.87,0.00,0,3.59e+04
0.00,0.00,0.00,56.41,0.00,0,3.59e+04
0.00,0.00,0.00,73.72,0.00,0,3.59e+04
0.00,0.00,0.00,72.58,0.00,0,3.59e+04
0.00,0.00,0.00,71.50,0.00,0,3.59e+04
0.00,0.00,0.00,55.85,0.00,0,3.59e+04
0.00,0.00,0.00,64.67,0.00,0,3.59e+04
0.00,0.00,0.00,67.60,0.00,0,3.59e+04
0.00,0.00,0.00,67.61,0.00,0,3.59e+04
0.00,0.00,0.00,56.22,0.00,0,3.59e+04
0.00,0.00,0.00,67.17,0.00,0,3.59e+04
0.00,0.00,0.00,67.19,0.00,0,3.59e+04
0.00,0.00,0.00,69.67,0.00,0,3.59e+04
0.00,0.00,0.00,56.94,0.00,0,3.59e+04
0.00,0.00,0.00,66.21,0.00,0,3.59e+04
0.00,0.00,0.00,69.89,0.00,0,3.59e+04
0.00,0.00,0.00,70.02,0.00,0,3.59e+04
0.00,0.00,0.00,64.39,0.00,0,3.59e+04
0.00,0.00,0.00,60.12,0.00,0,3.59e+04
0.00,0.00,0.00,70.29,0.00,0,3.59e+04
0.00,0.00,0.00,71.15,0.00,0,3.59e+04
0.00,0.00,0.00,69.11,0.00,0,3.59e+04
0.00,0.00,0.00,71.12,0.00,0,3.59e+04
0.00,0.00,0.00,70.96,0.00,0,3.59e+04
0.00,0.00,0.00,78.17,0.00,0,3.59e+04
0.00,0.00,0.00,78.06,0.00,0,3.59e+04
0.00,0.00,0.00,80.39,0.00,0,3.59e+04
0.00,0.00,0.00,100.49,0.00,0,3.59e+04
0.00,0.00,0.00,112.77,0.00,0,3.59e+04
0.00,0.00,0.00,94.86,0.00,0,3.59e+04
0.00,0.00,0.00,80.83,0.00,0,3.59e+04
258.80,0.00,0.00,75.13,6.40,0,3.61e+04
240.55,0.00,0.00,53.89,6.40,0,3.64e+04
172.55,0.00,0.00,28.36,6.40,0,3.65e+04
0.00,-618.20,25.00,50.42,-21.80,2,3.59e+04
0.00,-680.01,50.00,171.10,-13.49,2,3.52e+04
1969.90,4277.50,25.00,124.64,48.03,0,4.15e+04
1435.00,3116.00,0.00,31.72,48.03,0,4.60e+04
0.00,-427.80,25.00,140.41,-13.49,2,4.56e+04
1739.10,3510.25,0.00,185.11,49.77,0,5.09e+04
2292.75,0.00,0.00,51.93,24.77,0,5.32e+04
643.20,0.00,0.00,12.54,24.77,0,5.38e+04
0.00,-158.18,25.00,30.70,-12.61,2,5.36e+04
0.00,-410.76,50.00,11.43,-13.38,2,5.32e+04
0.00,-152.93,75.00,-16.69,-13.38,2,5.31e+04
-0.00,223.31,100.00,-20.86,-13.38,2,5.33e+04
-0.00,279.10,125.00,-20.91,-13.38,2,5.36e+04
-0.00,367.66,150.00,-20.72,-17.58,2,5.39e+04
-0.00,364.32,175.00,-21.11,-17.58,2,5.43e+04
-0.00,371.18,200.00,-26.18,-17.58,2,5.47e+04
-0.00,460.32,225.00,-20.87,-17.58,2,5.51e+04
-0.00,381.96,250.00,-21.17,-18.30,2,5.55e+04
-0.00,387.45,275.00,-21.42,-18.30,2,5.59e+04
-0.00,392.03,300.00,-30.25,-18.30,2,5.63e+04
-0.00,553.63,325.00,-23.90,-18.30,2,5.69e+04
-0.00,440.80,350.00,-26.10,-18.44,2,5.73e+04
-0.00,481.37,375.00,-26.74,-18.44,2,5.78e+04
-0.00,493.17,400.00,-35.00,-18.44,2,5.83e+04
-229.48,0.00,400.00,-23.38,13.11,2,5.80e+04
-151.65,0.00,400.00,-23.52,12.97,2,5.79e+04
-152.56,0.00,400.00,-23.86,12.97,2,5.77e+04
-154.77,0.00,400.00,-33.07,12.97,2,5.76e+04
-214.51,0.00,400.00,-22.74,12.97,2,5.74e+04
-157.34,0.00,400.00,-20.91,13.84,2,5.72e+04
-144.67,0.00,400.00,-20.92,13.84,2,5.71e+04
-144.74,0.00,400.00,-20.85,13.84,2,5.69e+04
-144.26,0.00,400.00,-20.52,13.84,2,5.68e+04
-185.57,0.00,400.00,-20.31,18.09,2,5.66e+04
-183.68,0.00,400.00,-13.26,18.09,2,5.64e+04
-119.92,0.00,400.00,-11.54,18.09,2,5.63e+04
-104.36,0.00,400.00,-7.57,18.09,2,5.62e+04
-96.04,0.00,400.00,-0.01,25.37,2,5.61e+04
-0.13,0.00,400.00,38.25,25.37,2,5.61e+04
485.26,-0.00,400.00,44.33,25.37,2,5.66e+04
562.40,-0.00,400.00,30.53,25.37,2,5.71e+04
172.95,-0.00,400.00,43.38,11.33,2,5.73e+04
245.75,-0.00,400.00,79.37,11.33,2,5.76e+04
449.63,-0.00,400.00,87.09,11.33,2,5.80e+04
493.36,2177.25,375.00,83.36,36.33,0,6.07e+04
3.16,2084.00,350.00,108.18,25.08,0,6.28e+04
4.09,2704.50,325.00,104.31,25.08,0,6.55e+04
3.95,2607.75,300.00,93.08,25.08,0,6.81e+04
3.52,2327.00,275.00,106.14,25.08,0,7.04e+04
0.00,2653.50,250.00,88.79,25.00,0,7.31e+04
0.00,2219.75,225.00,88.75,25.00,0,7.53e+04
0.00,2218.75,200.00,80.63,25.00,0,7.75e+04
0.00,2015.75,175.00,101.86,25.00,0,7.95e+04
0.00,2546.50,150.00,87.39,25.00,0,8.21e+04
0.00,2184.75,125.00,84.31,25.00,0,8.43e+04
0.00,2107.75,100.00,68.77,25.00,0,8.64e+04
0.00,1719.25,75.00,93.08,25.00,0,8.81e+04
0.00,2327.00,50.00,81.32,25.00,0,9.04e+04
0.00,2033.00,25.00,78.04,25.00,0,9.24e+04
0.00,1951.00,0.00,66.71,25.00,0,9.44e+04
0.00,0.00,0.00,85.02,0.00,0,9.44e+04
0.00,0.00,0.00,69.01,0.00,0,9.44e+04
0.00,0.00,0.00,62.96,0.00,0,9.44e+04
0.00,0.00,0.00,51.76,0.00,0,9.44e+04
0.00,-1294.00,25.00,87.21,-25.00,2,9.31e+04
0.00,2180.25,0.00,70.74,25.00,0,9.53e+04
0.00,0.00,0.00,84.44,0.00,0,9.53e+04
0.00,0.00,0.00,64.04,0.00,0,9.53e+04
0.00,0.00,0.00,83.68,0.00,0,9.53e+04
0.00,0.00,0.00,77.43,0.00,0,9.53e+04
0.00,0.00,0.00,83.75,0.00,0,9.53e+04
0.00,0.00,0.00,75.99,0.00,0,9.53e+04
0.00,0.00,0.00,84.68,0.00,0,9.53e+04
0.00,0.00,0.00,84.05,0.00,0,9.53e+04
0.00,0.00,0.00,84.04,0.00,0,9.53e+04
0.00,0.00,0.00,76.28,0.00,0,9.53e+04
0.00,0.00,0.00,88.34,0.00,0,9.53e+04
0.00,0.00,0.00,89.97,0.00,0,9.53e+04
0.00,0.00,0.00,91.57,0.00,0,9.53e+04
0.00,0.00,0.00,86.77,0.00,0,9.53e+04
0.00,0.00,0.00,82.08,0.00,0,9.53e+04
0.00,0.00,0.00,98.83,0.00,0,9.53e+04
0.00,0.00,0.00,95.25,0.00,0,9.53e+04
0.00,0.00,0.00,103.31,0.00,0,9.53e+04
0.00,0.00,0.00,98.48,0.00,0,9.53e+04
0.00,0.00,0.00,104.06,0.00,0,9.53e+04
0.00,0.00,0.00,115.43,0.00,0,9.53e+04
0.00,0.00,0.00,121.96,0.00,0,9.53e+04
0.00,0.00,0.00,118.18,0.00,0,9.53e+04
0.00,0.00,0.00,151.16,0.00,0,9.53e+04
0.00,0.00,0.00,193.89,0.00,0,9.53e+04
0.00,0.00,0.00,264.09,0.00,0,9.53e+04
0.00,0.00,0.00,257.60,0.00,0,9.53e+04
955.19,0.00,0.00,263.68,7.42,0,9.62e+04
977.74,0.00,0.00,121.69,7.42,0,9.72e+04
451.23,0.00,0.00,57.81,7.42,0,9.77e+04
214.36,0.00,0.00,78.97,7.42,0,9.79e+04
0.00,-944.98,25.00,52.94,-11.97,2,9.69e+04
0.00,-633.50,50.00,41.29,-11.97,2,9.63e+04
0.00,-494.09,75.00,12.30,-11.97,2,9.58e+04
0.00,-147.19,100.00,41.92,-11.97,2,9.57e+04
0.00,-482.06,125.00,45.96,-11.50,2,9.52e+04
0.00,-528.52,150.00,21.85,-11.50,2,9.46e+04
0.00,-251.27,175.00,47.34,-11.50,2,9.44e+04
0.00,-544.39,200.00,115.65,-11.50,2,9.38e+04
