solar_reward,grid_battery_reward,solar_battery_reward,soc,soc_grid,soc_solar,curr_lmp,net_load,a,total_rwd
0.00,-1067.13,0.00,23.25,23.25,0.00,41.56,-25.00,2,-1.07e+03
0.11,0.00,0.00,23.25,23.25,0.00,40.13,0.01,1,-1.07e+03
0.11,0.00,0.00,23.25,23.25,0.00,39.25,0.01,1,-1.07e+03
0.11,0.00,0.00,23.25,23.25,0.00,41.87,0.01,1,-1.07e+03
0.16,0.00,0.00,23.25,23.25,0.00,41.78,0.01,1,-1.07e+03
0.16,0.00,0.00,23.25,23.25,0.00,41.27,0.01,1,-1.07e+03
0.16,0.00,0.00,23.25,23.25,0.00,40.23,0.01,1,-1.07e+03
0.16,0.00,0.00,23.25,23.25,0.00,40.87,0.01,1,-1.07e+03
0.05,0.00,0.00,23.25,23.25,0.00,40.79,0.00,1,-1.07e+03
0.05,0.00,0.00,23.25,23.25,0.00,40.68,0.00,1,-1.07e+03
0.05,0.00,0.00,23.25,23.25,0.00,39.76,0.00,1,-1.07e+03
0.05,0.00,0.00,23.25,23.25,0.00,40.10,0.00,1,-1.07e+03
0.09,0.00,0.00,23.25,23.25,0.00,40.36,0.00,1,-1.07e+03
0.09,0.00,0.00,23.25,23.25,0.00,40.89,0.00,1,-1.07e+03
0.09,0.00,0.00,23.25,23.25,0.00,41.44,0.00,1,-1.07e+03
0.09,0.00,0.00,23.25,23.25,0.00,42.38,0.00,1,-1.07e+03
0.03,0.00,0.00,23.25,23.25,0.00,43.33,0.00,1,-1.07e+03
0.03,0.00,0.00,23.25,23.25,0.00,46.24,0.00,1,-1.07e+03
0.03,0.00,0.00,23.25,23.25,0.00,51.93,0.00,1,-1.07e+03
0.03,0.00,0.00,23.25,23.25,0.00,49.26,0.00,1,-1.07e+03
33.31,0.00,0.00,23.25,23.25,0.00,51.48,1.35,1,-1.03e+03
34.81,0.00,0.00,23.25,23.25,0.00,48.78,1.35,1,-9.97e+02
32.99,0.00,0.00,23.25,23.25,0.00,43.24,1.35,1,-9.64e+02
29.24,0.00,0.00,23.25,23.25,0.00,42.45,1.35,1,-9.35e+02
263.32,917.77,0.10,0.00,0.00,0.00,37.29,34.03,0,2.46e+02
231.31,0.00,0.00,0.00,0.00,0.00,29.54,12.41,0,4.77e+02
183.24,0.00,0.00,0.00,0.00,0.00,17.57,12.41,0,6.61e+02
108.99,0.00,0.00,0.00,0.00,0.00,21.96,12.41,0,7.70e+02
288.67,0.00,0.00,0.00,0.00,0.00,15.78,26.29,1,1.06e+03
207.43,0.00,0.00,0.00,0.00,0.00,16.82,26.29,1,1.27e+03
221.11,0.00,0.00,0.00,0.00,0.00,11.77,26.29,1,1.49e+03
154.72,0.00,0.00,0.00,0.00,0.00,19.84,26.29,1,1.64e+03
311.37,0.00,0.00,0.00,0.00,0.00,19.97,31.39,1,1.95e+03
313.41,0.00,0.00,0.00,0.00,0.00,18.58,31.39,1,2.27e+03
0.00,-172.90,0.00,23.25,8.65,14.60,22.55,-9.31,2,2.09e+03
353.90,0.00,0.00,23.25,8.65,14.60,23.78,31.39,1,2.45e+03
384.93,0.00,0.00,23.25,8.65,14.60,21.51,32.37,1,2.83e+03
0.00,-189.57,0.00,46.50,16.85,29.65,24.37,-8.81,2,2.64e+03
394.48,0.00,0.00,46.50,16.85,29.65,25.37,32.37,1,3.04e+03
410.66,0.00,0.00,46.50,16.85,29.65,25.31,32.37,1,3.45e+03
0.00,-206.59,0.00,69.75,24.44,45.31,23.11,-8.16,2,3.24e+03
0.00,-188.63,0.00,93.00,32.03,60.97,31.51,-8.16,2,3.05e+03
0.00,-257.20,0.00,116.25,39.62,76.63,33.79,-8.16,2,2.80e+03
568.94,0.00,0.00,116.25,39.62,76.63,26.15,33.68,1,3.36e+03
0.00,-195.02,0.00,139.50,46.56,92.94,33.97,-7.46,2,3.17e+03
