solar_reward,grid_battery_reward,solar_battery_reward,soc,soc_grid,soc_solar,curr_lmp,net_load,a,total_rwd
0.00,-1136.25,0.00,23.25,23.25,0.00,45.14,-25.00,2,-1.14e+03
0.00,-1128.50,0.00,46.50,46.50,0.00,44.15,-25.00,2,-2.26e+03
0.00,-1103.75,0.00,69.75,69.75,0.00,33.45,-25.00,2,-3.37e+03
0.00,-836.25,0.00,93.00,93.00,0.00,45.23,-25.00,2,-4.20e+03
0.00,-1130.75,0.00,116.25,116.25,0.00,45.25,-25.00,2,-5.34e+03
0.00,-1131.25,0.00,139.50,139.50,0.00,44.99,-25.00,2,-6.47e+03
0.00,-1124.75,0.00,162.75,162.75,0.00,34.29,-25.00,2,-7.59e+03
0.00,-857.25,0.00,186.00,186.00,0.00,44.44,-25.00,2,-8.45e+03
0.00,-1111.00,0.00,209.25,209.25,0.00,41.59,-25.00,2,-9.56e+03
0.00,-1039.75,0.00,232.50,232.50,0.00,43.93,-25.00,2,-1.06e+04
0.00,-1098.25,0.00,255.75,255.75,0.00,38.38,-25.00,2,-1.17e+04
0.00,0.00,0.00,255.75,255.75,0.00,40.06,0.00,1,-1.17e+04
0.00,0.00,0.00,255.75,255.75,0.00,46.71,0.00,1,-1.17e+04
0.00,-1167.75,0.00,279.00,279.00,0.00,50.51,-25.00,2,-1.29e+04
0.00,0.00,0.00,279.00,279.00,0.00,51.97,0.00,1,-1.29e+04
0.00,-1299.25,0.00,302.25,302.25,0.00,45.92,-25.00,2,-1.42e+04
0.00,0.00,0.00,302.25,302.25,0.00,61.02,0.00,1,-1.42e+04
0.00,0.00,0.00,302.25,302.25,0.00,70.74,0.00,1,-1.42e+04
0.00,1644.71,0.00,277.25,277.25,0.00,70.65,23.25,0,-1.25e+04
0.00,1642.61,0.00,252.25,252.25,0.00,74.36,23.25,0,-1.09e+04
0.87,1728.87,0.00,227.25,227.25,0.00,76.27,23.27,0,-9.15e+03
0.89,1773.28,0.00,202.25,202.25,0.00,85.83,23.27,0,-7.37e+03
1.00,1995.55,0.00,177.25,177.25,0.00,77.71,23.27,0,-5.38e+03
0.91,1806.76,0.00,152.25,152.25,0.00,83.68,23.27,0,-3.57e+03
368.22,1945.56,0.00,127.25,127.25,0.00,76.87,32.05,0,-1.26e+03
338.25,1787.23,0.00,102.25,102.25,0.00,55.29,32.05,0,8.70e+02
243.29,1285.49,0.00,77.25,77.25,0.00,31.71,32.05,0,2.40e+03
0.00,-653.22,0.00,100.50,96.41,4.09,44.76,-20.60,2,1.75e+03
522.80,870.32,170.35,75.50,75.50,0.00,19.69,46.61,0,3.31e+03
229.98,457.79,0.00,50.50,50.50,0.00,9.76,46.61,0,4.00e+03
0.00,-130.00,0.00,73.75,62.89,10.86,-0.01,-13.32,2,3.87e+03
-0.00,0.13,0.00,97.00,75.28,21.72,0.48,-13.32,2,3.87e+03
0.00,-5.98,0.00,120.25,86.87,33.38,-0.27,-12.46,2,3.86e+03
-0.00,3.37,0.00,143.50,98.46,45.04,-2.49,-12.46,2,3.86e+03
-0.00,31.04,0.00,166.75,110.05,56.70,-10.99,-12.46,2,3.90e+03
-0.00,136.98,0.00,190.00,121.64,68.36,-7.47,-12.46,2,4.03e+03
-0.00,107.92,0.00,213.25,135.08,78.17,-10.84,-14.45,2,4.14e+03
-0.00,156.60,0.00,236.50,148.51,87.99,-15.30,-14.45,2,4.30e+03
-0.00,221.04,0.00,259.75,161.95,97.80,-16.66,-14.45,2,4.52e+03
-0.00,240.69,0.00,283.00,175.38,107.62,-16.36,-14.45,2,4.76e+03
-0.00,249.03,0.00,306.25,189.54,116.71,-17.89,-15.22,2,5.01e+03
-0.00,272.32,0.00,329.50,203.70,125.80,-19.25,-15.22,2,5.28e+03
-0.00,293.02,0.00,352.75,217.85,134.90,-19.58,-15.22,2,5.57e+03
-0.00,298.04,0.00,376.00,232.01,143.99,-19.66,-15.22,2,5.87e+03
-0.00,295.10,0.00,398.29,245.58,152.72,-19.65,-15.01,2,6.17e+03
-142.65,0.00,0.00,399.85,245.16,154.69,-23.55,7.26,2,6.02e+03
-207.63,0.00,0.00,399.96,245.16,154.80,-30.82,8.82,2,5.82e+03
-275.08,0.00,0.00,399.97,245.16,154.81,-30.75,8.93,2,5.54e+03
-247.03,0.00,0.00,399.97,245.16,154.81,-31.39,8.03,2,5.29e+03
-252.19,0.00,0.00,399.97,245.16,154.81,-33.09,8.03,2,5.04e+03
-265.85,0.00,0.00,399.97,245.16,154.81,-40.51,8.03,2,4.78e+03
-325.46,0.00,0.00,399.97,245.16,154.81,-30.79,8.03,2,4.45e+03
-237.80,0.00,0.00,399.97,245.16,154.81,-31.42,7.72,2,4.21e+03
-242.66,0.00,0.00,399.97,245.16,154.81,-30.98,7.72,2,3.97e+03
-239.26,0.00,0.00,399.97,245.16,154.81,-40.56,7.72,2,3.73e+03
-313.25,0.00,0.00,399.97,245.16,154.81,-33.43,7.72,2,3.42e+03
-251.95,0.00,0.00,399.97,245.16,154.81,-29.01,7.54,2,3.17e+03
-218.64,0.00,0.00,399.97,245.16,154.81,-24.55,7.54,2,2.95e+03
-185.02,0.00,0.00,399.97,245.16,154.81,-27.67,7.54,2,2.76e+03
-208.54,0.00,0.00,399.97,245.16,154.81,-23.63,7.54,2,2.55e+03
-156.05,0.00,0.00,399.97,245.16,154.81,-19.99,6.60,2,2.40e+03
-132.01,0.00,0.00,399.97,245.16,154.81,-18.71,6.60,2,2.26e+03
-123.56,0.00,0.00,399.97,245.16,154.81,-15.67,6.60,2,2.14e+03
-103.48,0.00,0.00,399.97,245.16,154.81,-15.21,6.60,2,2.04e+03
-89.66,0.00,0.00,399.97,245.16,154.81,-2.86,5.89,2,1.95e+03
-16.86,0.00,0.00,399.97,245.16,154.81,0.26,5.89,2,1.93e+03
1.53,-0.00,0.00,399.97,245.16,154.81,38.19,5.89,2,1.93e+03
225.13,-0.00,0.00,399.97,245.16,154.81,24.43,5.89,2,2.16e+03
35.40,-0.00,0.00,399.97,245.16,154.81,37.13,1.45,2,2.19e+03
53.80,-0.00,0.00,399.97,245.16,154.81,59.06,1.45,2,2.25e+03
85.57,-0.00,0.00,399.97,245.16,154.81,79.23,1.45,2,2.33e+03
114.79,-0.00,0.00,399.97,245.16,154.81,77.01,1.45,2,2.45e+03
0.49,0.00,0.00,399.55,245.16,154.39,80.43,0.01,1,2.45e+03
0.52,0.00,0.00,399.14,245.16,153.97,85.79,0.01,1,2.45e+03
0.55,1231.30,763.32,373.72,229.73,143.99,91.69,23.26,0,4.44e+03
0.59,1356.36,775.43,348.33,213.43,134.90,105.44,23.26,0,6.58e+03
0.00,1559.76,891.72,323.33,197.53,125.80,93.34,23.25,0,9.03e+03
0.00,1380.77,789.39,298.33,181.62,116.71,88.78,23.25,0,1.12e+04
0.00,1313.31,750.82,273.33,165.71,107.62,72.48,23.25,0,1.33e+04
0.00,1023.61,661.55,248.33,150.53,97.80,78.71,23.25,0,1.49e+04
0.00,1111.59,718.42,223.33,135.34,87.99,71.53,23.25,0,1.68e+04
0.00,911.49,751.58,198.33,121.64,76.69,66.24,23.25,0,1.84e+04
0.00,714.07,826.01,173.33,110.05,63.28,55.72,23.25,0,2.00e+04
0.00,600.66,694.83,148.33,98.46,49.87,73.56,23.25,0,2.13e+04
0.00,792.98,917.29,123.33,86.87,36.46,69.95,23.25,0,2.30e+04
0.00,754.06,872.27,98.33,75.28,23.06,64.32,23.25,0,2.46e+04
0.00,0.00,0.00,98.33,75.28,23.06,53.06,0.00,1,2.46e+04
0.00,-1326.50,0.00,121.58,98.53,23.06,70.18,-25.00,2,2.33e+04
0.00,0.00,0.00,121.58,98.53,23.06,62.14,0.00,1,2.33e+04
0.00,1367.85,76.90,96.58,74.86,21.72,59.19,23.25,0,2.47e+04
0.00,778.23,597.94,71.58,60.72,10.86,54.77,23.25,0,2.61e+04
0.00,-1369.25,0.00,94.83,83.97,10.86,68.92,-25.00,2,2.47e+04
