soc,lmp,a,total_rwd
0.00,0.00,2,0.00e+00
0.00,0.00,2,0.00e+00
0.00,0.00,2,0.00e+00
0.00,0.00,2,0.00e+00
0.00,0.00,2,0.00e+00
0.00,0.00,2,0.00e+00
0.00,0.00,2,0.00e+00
0.00,0.00,2,0.00e+00
0.00,0.00,2,0.00e+00
0.00,0.00,2,0.00e+00
0.00,0.00,2,0.00e+00
0.00,0.00,2,0.00e+00
0.00,0.00,2,0.00e+00
0.00,0.00,2,0.00e+00
0.00,0.00,2,0.00e+00
0.00,0.00,2,0.00e+00
0.00,0.00,2,0.00e+00
0.00,0.00,2,0.00e+00
0.00,0.00,2,0.00e+00
0.00,0.00,2,0.00e+00
0.00,0.00,2,0.00e+00
0.00,0.00,2,0.00e+00
0.00,0.00,2,0.00e+00
0.00,0.00,2,0.00e+00
0.00,0.00,2,0.00e+00
0.00,0.00,2,0.00e+00
0.00,0.00,2,0.00e+00
0.00,0.00,2,0.00e+00
0.00,0.00,2,0.00e+00
0.00,0.00,2,0.00e+00
0.00,0.00,2,0.00e+00
0.00,0.00,2,0.00e+00
0.00,0.00,2,0.00e+00
0.00,0.00,2,0.00e+00
0.00,0.00,2,0.00e+00
0.00,0.00,0,1.79e+04
0.00,0.00,0,3.31e+04
0.00,0.00,0,4.57e+04
0.00,0.00,0,5.55e+04
0.00,0.00,0,6.25e+04
0.00,0.00,0,6.68e+04
0.00,0.00,0,6.82e+04
0.00,0.00,0,6.68e+04
0.00,0.00,0,6.68e+04
0.00,0.00,0,6.68e+04
0.00,0.00,0,6.68e+04
0.00,0.00,0,6.68e+04
0.00,0.00,0,6.68e+04
0.00,0.00,0,6.68e+04
0.00,0.00,0,6.68e+04
0.00,0.00,0,6.68e+04
0.00,0.00,0,6.68e+04
0.00,0.00,0,6.68e+04
0.00,0.00,0,6.68e+04
0.00,0.00,0,6.68e+04
0.00,0.00,0,6.68e+04
0.00,0.00,0,6.68e+04
0.00,0.00,0,6.68e+04
0.00,0.00,0,6.68e+04
0.00,0.00,0,6.68e+04
0.00,0.00,0,6.68e+04
0.00,0.00,0,6.68e+04
0.00,0.00,0,6.68e+04
0.00,0.00,0,6.68e+04
0.00,0.00,0,6.68e+04
0.00,0.00,0,6.68e+04
0.00,0.00,0,6.68e+04
0.00,0.00,0,6.68e+04
0.00,0.00,0,6.68e+04
0.00,0.00,0,6.68e+04
0.00,0.00,0,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,2,6.68e+04
0.00,0.00,0,1.08e+05
0.00,0.00,0,1.49e+05
0.00,0.00,0,1.88e+05
0.00,0.00,0,2.26e+05
0.00,0.00,0,2.63e+05
0.00,0.00,0,2.98e+05
0.00,0.00,0,3.31e+05
0.00,0.00,0,3.62e+05
0.00,0.00,0,3.62e+05
0.00,0.00,0,3.62e+05
0.00,0.00,0,3.62e+05
0.00,0.00,0,3.62e+05
0.00,0.00,0,3.62e+05
0.00,0.00,0,3.62e+05
0.00,0.00,0,3.62e+05
0.00,0.00,0,3.62e+05
0.00,0.00,0,3.62e+05
0.00,0.00,0,3.62e+05
0.00,0.00,0,3.62e+05
0.00,0.00,0,3.62e+05
0.00,0.00,0,3.62e+05
0.00,0.00,0,3.62e+05
0.00,0.00,0,3.62e+05
0.00,0.00,0,3.62e+05
0.00,0.00,0,3.62e+05
0.00,0.00,0,3.62e+05
0.00,0.00,0,3.62e+05
0.00,0.00,0,3.62e+05
0.00,0.00,0,3.62e+05
0.00,0.00,0,3.62e+05
0.00,0.00,0,3.62e+05
0.00,0.00,0,3.62e+05
0.00,0.00,0,3.62e+05
0.00,0.00,0,3.62e+05
0.00,0.00,0,3.62e+05
0.00,0.00,0,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,2,3.62e+05
0.00,0.00,0,4.03e+05
0.00,0.00,0,4.44e+05
0.00,0.00,0,4.83e+05
0.00,0.00,0,5.21e+05
0.00,0.00,0,5.58e+05
0.00,0.00,0,5.92e+05
0.00,0.00,0,6.25e+05
