solar_reward,grid_battery_reward,solar_battery_reward,soc,soc_grid,soc_solar,curr_lmp,net_load,a,total_rwd
0.00,0.00,0.00,0.00,0.00,0.00,46.90,0.00,0,0.00e+00
0.00,0.00,0.00,0.00,0.00,0.00,45.95,0.00,1,0.00e+00
0.00,0.00,0.00,0.00,0.00,0.00,34.77,0.00,1,0.00e+00
0.00,-869.25,0.00,23.25,23.25,0.00,46.67,-25.00,2,-8.69e+02
0.00,0.00,0.00,23.25,23.25,0.00,46.72,0.00,1,-8.69e+02
0.00,0.00,0.00,23.25,23.25,0.00,46.67,0.00,1,-8.69e+02
0.00,0.00,0.00,23.25,23.25,0.00,35.71,0.00,1,-8.69e+02
0.00,-892.75,0.00,46.50,46.50,0.00,46.12,-25.00,2,-1.76e+03
0.00,0.00,0.00,46.50,46.50,0.00,43.35,0.00,1,-1.76e+03
0.00,1007.89,0.00,21.50,21.50,0.00,45.78,23.25,0,-7.54e+02
0.00,0.00,0.00,21.50,21.50,0.00,40.04,0.00,1,-7.54e+02
0.00,0.00,0.00,21.50,21.50,0.00,41.77,0.00,1,-7.54e+02
0.00,0.00,0.00,21.50,21.50,0.00,48.53,0.00,1,-7.54e+02
0.00,0.00,0.00,21.50,21.50,0.00,52.22,0.00,1,-7.54e+02
0.00,0.00,0.00,21.50,21.50,0.00,53.91,0.00,1,-7.54e+02
0.00,0.00,0.00,21.50,21.50,0.00,47.49,0.00,1,-7.54e+02
0.00,0.00,0.00,21.50,21.50,0.00,62.44,0.00,1,-7.54e+02
0.00,1248.49,0.00,0.00,0.00,0.00,72.63,20.00,0,4.94e+02
0.00,0.00,0.00,0.00,0.00,0.00,72.42,0.00,0,4.94e+02
0.00,0.00,0.00,0.00,0.00,0.00,74.52,0.00,0,4.94e+02
0.00,0.00,0.00,0.00,0.00,0.00,75.85,0.00,0,4.94e+02
0.00,0.00,0.00,0.00,0.00,0.00,86.11,0.00,0,4.94e+02
0.00,0.00,0.00,0.00,0.00,0.00,78.94,0.00,0,4.94e+02
0.00,0.00,0.00,0.00,0.00,0.00,83.68,0.00,0,4.94e+02
249.50,0.00,0.00,0.00,0.00,0.00,76.87,5.96,1,7.44e+02
229.20,0.00,0.00,0.00,0.00,0.00,55.29,5.96,1,9.73e+02
164.85,0.00,0.00,0.00,0.00,0.00,31.71,5.96,1,1.14e+03
0.00,-698.20,0.00,23.25,20.48,2.77,50.62,-22.02,2,4.40e+02
0.00,-707.03,0.00,46.50,33.47,13.03,45.67,-13.97,2,-2.67e+02
