solar_reward,grid_battery_reward,solar_battery_reward,soc,soc_grid,soc_solar,curr_lmp,net_load,a,total_rwd
0.00,-974.21,0.00,23.25,23.25,0.00,37.64,-25.00,2,-9.74e+02
0.00,-940.97,0.00,46.50,46.50,0.00,36.54,-25.00,2,-1.92e+03
0.00,-913.47,0.00,69.75,69.75,0.00,35.48,-25.00,2,-2.83e+03
0.00,-886.97,0.00,93.00,93.00,0.00,38.26,-25.00,2,-3.72e+03
0.00,-956.45,0.00,116.25,116.25,0.00,38.21,-25.00,2,-4.67e+03
0.00,-955.20,0.00,139.50,139.49,0.01,38.11,-25.00,2,-5.63e+03
0.00,-952.70,0.00,162.75,162.74,0.01,37.34,-25.00,2,-6.58e+03
0.00,-933.45,0.00,186.00,185.99,0.01,38.26,-25.00,2,-7.51e+03
0.00,-956.48,0.00,209.25,209.24,0.01,38.27,-25.00,2,-8.47e+03
0.00,-956.73,0.00,232.50,232.49,0.01,38.18,-25.00,2,-9.43e+03
0.00,-954.48,0.00,255.75,255.74,0.01,37.28,-25.00,2,-1.04e+04
0.00,-931.98,0.00,279.00,278.99,0.01,37.50,-25.00,2,-1.13e+04
0.00,-937.47,0.00,302.25,302.24,0.01,37.71,-25.00,2,-1.23e+04
0.00,-942.72,0.00,325.50,325.49,0.01,38.24,-25.00,2,-1.32e+04
0.00,-955.97,0.00,348.75,348.74,0.01,38.78,-25.00,2,-1.41e+04
0.00,-969.47,0.00,372.00,371.99,0.01,39.44,-25.00,2,-1.51e+04
0.00,-985.99,0.00,394.86,394.85,0.01,40.73,-25.00,2,-1.61e+04
0.00,-226.00,0.00,399.61,399.60,0.01,43.65,-5.55,2,-1.63e+04
0.00,-35.12,0.00,399.94,399.93,0.01,49.53,-0.80,2,-1.64e+04
0.00,-23.41,0.00,399.97,399.95,0.01,46.13,-0.47,2,-1.64e+04
0.00,-10.35,0.00,399.97,399.75,0.22,48.69,-0.22,2,-1.64e+04
0.00,-10.84,0.00,399.97,399.74,0.22,46.51,-0.22,2,-1.64e+04
0.00,-10.35,0.00,399.97,399.74,0.22,41.65,-0.22,2,-1.64e+04
0.00,-9.27,0.00,399.97,399.74,0.22,42.46,-0.22,2,-1.64e+04
68.77,-0.00,0.00,399.97,399.54,0.43,39.73,1.62,2,-1.64e+04
64.35,-0.00,0.00,399.97,399.54,0.43,38.16,1.62,2,-1.63e+04
61.81,-0.00,0.00,399.97,399.54,0.43,37.39,1.62,2,-1.62e+04
60.56,-0.00,0.00,399.97,399.54,0.43,32.16,1.62,2,-1.62e+04
126.51,-0.00,0.00,399.97,399.54,0.43,33.51,3.93,2,-1.60e+04
131.82,-0.00,0.00,399.97,399.54,0.43,36.29,3.93,2,-1.59e+04
142.76,-0.00,0.00,399.97,399.54,0.43,37.53,3.93,2,-1.58e+04
147.64,-0.00,0.00,399.97,399.54,0.43,36.12,3.93,2,-1.56e+04
172.77,-0.00,0.00,399.97,399.54,0.43,36.21,4.78,2,-1.55e+04
173.21,-0.00,0.00,399.97,399.54,0.43,35.56,4.78,2,-1.53e+04
170.10,-0.00,0.00,399.97,399.54,0.43,25.76,4.78,2,-1.51e+04
123.22,-0.00,0.00,399.97,399.54,0.43,24.68,4.78,2,-1.50e+04
122.11,-0.00,0.00,399.97,399.54,0.43,28.14,4.95,2,-1.49e+04
139.23,-0.00,0.00,399.97,399.54,0.43,25.71,4.95,2,-1.47e+04
127.20,-0.00,0.00,399.97,399.54,0.43,24.87,4.95,2,-1.46e+04
123.05,-0.00,0.00,399.97,399.54,0.43,24.86,4.95,2,-1.45e+04
128.39,-0.00,0.00,399.97,399.54,0.43,31.51,5.16,2,-1.43e+04
162.73,-0.00,0.00,399.97,399.54,0.43,33.11,5.16,2,-1.42e+04
171.00,-0.00,0.00,399.97,399.54,0.43,38.02,5.16,2,-1.40e+04
213.39,0.00,0.00,399.55,399.54,0.02,30.05,11.23,1,-1.38e+04
149.75,-0.00,0.00,399.94,399.12,0.82,33.09,4.98,2,-1.36e+04
177.71,-0.00,0.00,399.97,399.12,0.84,37.34,5.37,2,-1.35e+04
