solar_reward,grid_reward,soc,curr_lmp,net_load,a,total_rwd
0.00,-974.23,25.00,37.64,-25.00,2,-9.74e+02
0.00,-940.98,50.00,36.54,-25.00,2,-1.92e+03
0.00,-913.48,75.00,35.48,-25.00,2,-2.83e+03
0.00,-886.98,100.00,38.26,-25.00,2,-3.72e+03
0.00,-930.63,125.00,38.21,-24.32,2,-4.65e+03
0.00,-929.41,150.00,38.11,-24.32,2,-5.58e+03
0.00,-926.98,175.00,37.34,-24.32,2,-6.50e+03
0.00,-908.25,200.00,38.26,-24.32,2,-7.41e+03
0.00,-719.17,225.00,38.27,-18.80,2,-8.13e+03
0.00,-719.36,250.00,38.18,-18.80,2,-8.85e+03
0.00,-717.67,275.00,37.28,-18.80,2,-9.57e+03
0.00,-700.75,300.00,37.50,-18.80,2,-1.03e+04
0.00,-444.55,325.00,37.71,-11.85,2,-1.07e+04
0.00,-447.04,350.00,38.24,-11.85,2,-1.12e+04
0.00,-453.32,375.00,38.78,-11.85,2,-1.16e+04
0.00,-459.72,400.00,39.44,-11.85,2,-1.21e+04
618.97,-0.00,400.00,40.73,31.39,2,-1.15e+04
639.22,-0.00,400.00,43.65,31.39,2,-1.08e+04
685.04,-0.00,400.00,49.53,31.39,2,-1.01e+04
777.33,-0.00,400.00,46.13,31.39,2,-9.35e+03
746.70,-0.00,400.00,48.69,32.37,2,-8.61e+03
788.14,-0.00,400.00,46.51,32.37,2,-7.82e+03
752.86,-0.00,400.00,41.65,32.37,2,-7.06e+03
674.19,-0.00,400.00,42.46,32.37,2,-6.39e+03
714.92,-0.00,400.00,39.73,33.68,2,-5.68e+03
668.96,-0.00,400.00,38.16,33.68,2,-5.01e+03
642.52,-0.00,400.00,37.39,33.68,2,-4.36e+03
629.56,-0.00,400.00,32.16,33.68,2,-3.73e+03
564.16,-0.00,400.00,33.51,35.08,2,-3.17e+03
587.85,-0.00,400.00,36.29,35.08,2,-2.58e+03
636.61,-0.00,400.00,37.53,35.08,2,-1.95e+03
658.37,-0.00,400.00,36.12,35.08,2,-1.29e+03
639.35,-0.00,400.00,36.21,35.40,2,-6.48e+02
640.94,-0.00,400.00,35.56,35.40,2,-6.79e+00
629.44,-0.00,400.00,25.76,35.40,2,6.23e+02
455.97,-0.00,400.00,24.68,35.40,2,1.08e+03
411.53,-0.00,400.00,28.14,33.35,2,1.49e+03
469.22,-0.00,400.00,25.71,33.35,2,1.96e+03
428.70,-0.00,400.00,24.87,33.35,2,2.39e+03
414.70,-0.00,400.00,24.86,33.35,2,2.80e+03
386.05,-0.00,400.00,31.51,31.06,2,3.19e+03
489.31,-0.00,400.00,33.11,31.06,2,3.68e+03
514.16,-0.00,400.00,38.02,31.06,2,4.19e+03
590.40,-0.00,400.00,30.05,31.06,2,4.78e+03
422.93,-0.00,400.00,33.09,28.15,2,5.21e+03
465.72,-0.00,400.00,37.34,28.15,2,5.67e+03
525.54,-0.00,400.00,38.01,28.15,2,6.20e+03
534.97,-0.00,400.00,27.38,28.15,2,6.73e+03
307.70,-0.00,400.00,32.36,22.48,2,7.04e+03
363.66,-0.00,400.00,37.47,22.48,2,7.40e+03
421.09,-0.00,400.00,39.64,22.48,2,7.82e+03
445.48,-0.00,400.00,30.56,22.48,2,8.27e+03
137.16,-0.00,400.00,33.24,8.98,2,8.41e+03
149.19,-0.00,400.00,37.08,8.98,2,8.56e+03
166.42,-0.00,400.00,40.26,8.98,2,8.72e+03
180.69,-0.00,400.00,43.39,8.98,2,8.90e+03
9.58,-0.00,400.00,50.06,0.44,2,8.91e+03
11.06,-0.00,400.00,61.81,0.44,2,8.92e+03
13.65,-0.00,400.00,64.75,0.44,2,8.94e+03
14.30,-0.00,400.00,48.58,0.44,2,8.95e+03
0.00,-0.00,400.00,50.95,0.00,2,8.95e+03
0.00,-0.00,400.00,50.95,0.00,2,8.95e+03
0.00,-0.00,400.00,50.95,0.00,2,8.95e+03
0.00,-0.00,400.00,48.49,0.00,2,8.95e+03
0.00,-0.00,400.00,40.64,0.00,2,8.95e+03
0.00,-0.00,400.00,40.64,0.00,2,8.95e+03
0.00,-0.00,400.00,59.93,0.00,2,8.95e+03
0.00,-0.00,400.00,49.92,0.00,2,8.95e+03
0.03,-0.00,400.00,60.19,0.00,2,8.95e+03
0.03,-0.00,400.00,89.08,0.00,2,8.95e+03
0.05,-0.00,400.00,127.62,0.00,1,8.95e+03
0.07,3190.50,375.00,78.15,25.00,0,1.21e+04
0.00,-0.00,375.00,92.19,0.00,1,1.21e+04
0.00,-0.00,375.00,92.23,0.00,1,1.21e+04
0.00,-0.00,375.00,169.45,0.00,1,1.21e+04
0.00,4236.25,350.00,71.55,25.00,0,1.64e+04
0.00,-1788.62,375.00,70.74,-25.00,2,1.46e+04
0.00,-1768.37,400.00,65.89,-25.00,2,1.28e+04
0.12,-0.00,400.00,59.30,0.00,2,1.28e+04
0.11,-0.00,400.00,70.38,0.00,2,1.28e+04
0.16,-0.00,400.00,70.08,0.00,2,1.28e+04
0.16,-0.00,400.00,65.75,0.00,2,1.28e+04
0.15,-0.00,400.00,53.62,0.00,2,1.28e+04
0.12,-0.00,400.00,53.48,0.00,2,1.28e+04
0.15,-0.00,400.00,53.11,0.01,2,1.28e+04
0.15,-0.00,400.00,49.87,0.01,2,1.28e+04
0.14,-0.00,400.00,45.78,0.01,2,1.28e+04
0.13,-0.00,400.00,53.66,0.01,2,1.28e+04
0.00,-0.00,400.00,46.01,0.00,2,1.28e+04
0.00,-0.00,400.00,43.20,0.00,2,1.28e+04
0.00,-0.00,400.00,39.74,0.00,2,1.28e+04
0.00,-0.00,400.00,50.74,0.00,2,1.28e+04
0.00,-0.00,400.00,46.93,0.00,2,1.28e+04
0.00,-0.00,400.00,42.90,0.00,2,1.28e+04
0.00,-0.00,400.00,40.08,0.00,2,1.28e+04
0.00,-0.00,400.00,44.26,0.00,2,1.28e+04
0.00,-0.00,400.00,41.79,0.00,2,1.28e+04
0.00,-0.00,400.00,40.01,0.00,2,1.28e+04
0.00,-0.00,400.00,38.72,0.00,2,1.28e+04
0.00,-0.00,400.00,40.40,0.00,2,1.28e+04
27.74,-0.00,400.00,40.52,1.37,2,1.29e+04
27.83,-0.00,400.00,39.61,1.37,2,1.29e+04
27.20,-0.00,400.00,39.48,1.37,2,1.29e+04
27.11,-0.00,400.00,41.35,1.37,2,1.29e+04
235.78,-0.00,400.00,42.60,11.40,2,1.32e+04
242.91,-0.00,400.00,41.92,11.40,2,1.34e+04
239.03,-0.00,400.00,40.53,11.40,2,1.37e+04
231.11,-0.00,400.00,41.09,11.40,2,1.39e+04
432.65,-0.00,400.00,42.75,21.06,2,1.43e+04
450.12,-0.00,400.00,43.50,21.06,2,1.48e+04
458.02,-0.00,400.00,45.79,21.06,2,1.52e+04
482.13,-0.00,400.00,40.92,21.06,2,1.57e+04
562.82,-0.00,400.00,43.31,27.51,2,1.63e+04
595.69,-0.00,400.00,49.51,27.51,2,1.69e+04
680.97,-0.00,400.00,57.11,27.51,2,1.75e+04
785.50,-0.00,400.00,50.25,27.51,2,1.83e+04
816.41,-0.00,400.00,52.43,32.49,2,1.91e+04
851.83,-0.00,400.00,55.41,32.49,2,2.00e+04
900.24,-0.00,400.00,43.71,32.49,2,2.09e+04
710.15,-0.00,400.00,49.48,32.49,2,2.16e+04
831.06,-0.00,400.00,43.78,33.59,2,2.24e+04
735.33,-0.00,400.00,41.46,33.59,2,2.32e+04
696.36,-0.00,400.00,38.37,33.59,2,2.39e+04
644.46,-0.00,400.00,37.77,33.59,2,2.45e+04
643.54,-0.00,400.00,36.44,34.08,2,2.52e+04
620.88,-0.00,400.00,38.24,34.08,2,2.58e+04
651.55,-0.00,400.00,38.09,34.08,2,2.64e+04
648.99,-0.00,400.00,38.85,34.08,2,2.71e+04
659.53,-0.00,400.00,38.66,33.95,2,2.77e+04
656.31,-0.00,400.00,38.52,33.95,2,2.84e+04
653.93,-0.00,400.00,38.30,33.95,2,2.91e+04
650.19,-0.00,400.00,40.54,33.95,2,2.97e+04
648.50,-0.00,400.00,39.43,31.99,2,3.03e+04
