solar_reward,grid_battery_reward,solar_battery_reward,soc,soc_grid,soc_solar,curr_lmp,net_load,a,total_rwd
0.00,-1065.43,0.00,23.25,23.24,0.01,41.20,-24.99,2,-1.07e+03
0.00,-1029.69,0.00,46.50,46.49,0.01,39.92,-24.99,2,-2.10e+03
0.30,0.00,0.00,46.50,46.49,0.01,38.86,0.01,1,-2.09e+03
0.29,0.00,0.00,46.50,46.49,0.01,41.83,0.01,1,-2.09e+03
4.28,0.00,0.00,46.50,46.49,0.01,41.82,0.20,1,-2.09e+03
4.28,0.00,0.00,46.50,46.49,0.01,41.67,0.20,1,-2.09e+03
4.27,0.00,0.00,46.50,46.49,0.01,40.79,0.20,1,-2.08e+03
4.18,0.00,0.00,46.50,46.49,0.01,41.73,0.20,1,-2.08e+03
98.68,0.00,0.00,46.50,46.49,0.01,41.71,4.73,1,-1.98e+03
98.63,0.00,0.00,46.50,46.49,0.01,41.63,4.73,1,-1.88e+03
98.45,0.00,0.00,46.50,46.49,0.01,40.72,4.73,1,-1.78e+03
96.29,0.00,0.00,46.50,46.49,0.01,40.92,4.73,1,-1.69e+03
200.54,0.00,0.00,46.50,46.49,0.01,41.13,9.80,1,-1.48e+03
201.57,0.00,0.00,46.50,46.49,0.01,41.63,9.80,1,-1.28e+03
204.02,0.00,0.00,46.50,46.49,0.01,42.20,9.80,1,-1.08e+03
206.81,0.00,0.00,46.50,46.49,0.01,42.78,9.80,1,-8.73e+02
231.41,0.00,0.00,46.50,46.49,0.01,44.11,10.82,1,-6.41e+02
238.60,0.00,0.00,46.50,46.49,0.01,47.23,10.82,1,-4.03e+02
255.48,0.00,0.00,46.50,46.49,0.01,53.54,10.82,1,-1.47e+02
289.61,0.00,0.00,46.50,46.49,0.01,50.27,10.82,1,1.43e+02
282.12,0.00,0.00,46.50,46.49,0.01,53.03,11.22,1,4.25e+02
297.61,0.00,0.00,46.50,46.49,0.01,50.60,11.22,1,7.22e+02
283.97,0.00,0.00,46.50,46.49,0.01,45.19,11.22,1,1.01e+03
253.61,0.00,0.00,46.50,46.49,0.01,42.46,11.22,1,1.26e+03
239.74,0.00,0.00,46.50,46.49,0.01,42.84,11.29,1,1.50e+03
241.89,0.00,0.00,46.50,46.49,0.01,41.31,11.29,1,1.74e+03
233.25,0.00,0.00,46.50,46.49,0.01,40.76,11.29,1,1.97e+03
230.14,0.00,0.00,46.50,46.49,0.01,36.40,11.29,1,2.20e+03
0.00,-703.32,0.00,69.75,64.46,5.29,49.60,-19.32,2,1.50e+03
281.63,0.00,0.00,69.75,64.46,5.29,42.34,11.36,1,1.78e+03
240.41,0.00,0.00,69.75,64.46,5.29,52.24,11.36,1,2.02e+03
296.62,0.00,0.00,69.75,64.46,5.29,40.19,11.36,1,2.32e+03
227.80,0.00,0.00,69.75,64.46,5.29,40.46,11.34,1,2.55e+03
229.33,0.00,0.00,69.75,64.46,5.29,39.73,11.34,1,2.78e+03
225.19,0.00,0.00,69.75,64.46,5.29,30.88,11.34,1,3.00e+03
0.00,-596.97,0.00,93.00,82.43,10.57,28.60,-19.33,2,2.41e+03
0.00,-554.64,0.00,116.25,100.47,15.78,31.72,-19.39,2,1.85e+03
0.00,-615.15,0.00,139.50,118.51,20.99,27.69,-19.39,2,1.24e+03
0.00,-536.99,0.00,162.75,136.54,26.21,29.59,-19.39,2,6.99e+02
165.91,0.00,0.00,162.75,136.54,26.21,26.88,11.21,1,8.65e+02
0.00,-530.56,0.00,186.00,154.90,31.10,36.67,-19.74,2,3.34e+02
192.96,0.00,0.00,186.00,154.90,31.10,39.38,10.52,1,5.27e+02
207.22,736.36,179.22,161.00,134.79,26.21,44.99,33.77,0,1.65e+03
236.74,0.00,0.00,161.00,134.79,26.21,37.51,10.52,1,1.89e+03
196.61,0.00,0.00,161.00,134.79,26.21,41.76,10.48,1,2.08e+03
218.89,0.00,0.00,161.00,134.79,26.21,49.48,10.48,1,2.30e+03
259.35,0.00,0.00,161.00,134.79,26.21,47.44,10.48,1,2.56e+03
248.66,0.00,0.00,161.00,134.79,26.21,43.15,10.48,1,2.81e+03
203.79,0.00,0.00,161.00,134.79,26.21,45.72,9.45,1,3.01e+03
215.92,0.00,0.00,161.00,134.79,26.21,49.54,9.45,1,3.23e+03
233.97,0.00,0.00,161.00,134.79,26.21,51.42,9.45,1,3.46e+03
242.84,0.00,0.00,161.00,134.79,26.21,44.80,9.45,1,3.71e+03
117.62,0.00,0.00,161.00,134.79,26.21,48.16,5.25,1,3.82e+03
126.44,0.00,0.00,161.00,134.79,26.21,51.58,5.25,1,3.95e+03
135.42,0.00,0.00,161.00,134.79,26.21,50.86,5.25,1,4.09e+03
133.53,0.00,0.00,161.00,134.79,26.21,52.98,5.25,1,4.22e+03
12.38,974.86,256.93,136.00,115.01,20.99,68.54,23.72,0,5.46e+03
16.02,1261.17,332.39,111.00,95.22,15.78,96.27,23.72,0,7.07e+03
22.50,1771.42,466.86,86.00,75.43,10.57,94.91,23.72,0,9.33e+03
22.18,1741.38,465.28,61.00,55.71,5.29,67.77,23.72,0,1.16e+04
0.00,0.00,0.00,61.00,55.71,5.29,87.30,0.00,1,1.16e+04
0.00,1601.00,428.72,36.00,35.99,0.01,87.30,23.25,0,1.36e+04
0.00,0.00,0.00,36.00,35.99,0.01,87.30,0.00,1,1.36e+04
0.00,0.00,0.00,36.00,35.99,0.01,64.08,0.00,1,1.36e+04
0.00,0.00,0.00,36.00,35.99,0.01,47.55,0.00,1,1.36e+04
0.00,0.00,0.00,36.00,35.99,0.01,47.55,0.00,1,1.36e+04
0.00,0.00,0.00,36.00,35.99,0.01,104.55,0.00,1,1.36e+04
0.00,2430.11,0.68,11.00,10.99,0.01,58.06,23.25,0,1.60e+04
0.00,0.00,0.00,11.00,10.99,0.01,97.64,0.00,1,1.60e+04
0.00,998.23,0.63,0.00,0.00,0.00,167.31,10.23,0,1.70e+04
0.00,0.00,0.00,0.00,0.00,0.00,181.57,0.00,0,1.70e+04
0.00,0.00,0.00,0.00,0.00,0.00,89.60,0.00,0,1.70e+04
0.00,0.00,0.00,0.00,0.00,0.00,105.49,0.00,1,1.70e+04
0.00,0.00,0.00,0.00,0.00,0.00,105.49,0.00,1,1.70e+04
0.00,0.00,0.00,0.00,0.00,0.00,169.45,0.00,1,1.70e+04
0.00,0.00,0.00,0.00,0.00,0.00,81.90,0.00,1,1.70e+04
0.00,0.00,0.00,0.00,0.00,0.00,80.80,0.00,1,1.70e+04
0.00,0.00,0.00,0.00,0.00,0.00,75.32,0.00,1,1.70e+04
0.00,0.00,0.00,0.00,0.00,0.00,67.67,0.00,1,1.70e+04
0.00,0.00,0.00,0.00,0.00,0.00,79.53,0.00,0,1.70e+04
0.00,0.00,0.00,0.00,0.00,0.00,79.04,0.00,1,1.70e+04
0.00,0.00,0.00,0.00,0.00,0.00,74.02,0.00,1,1.70e+04
0.00,0.00,0.00,0.00,0.00,0.00,60.52,0.00,1,1.70e+04
0.00,0.00,0.00,0.00,0.00,0.00,59.33,0.00,1,1.70e+04
