solar_reward,grid_battery_reward,solar_battery_reward,soc,soc_grid,soc_solar,curr_lmp,net_load,a,total_rwd
0.00,0.00,0.00,0.00,0.00,0.00,44.29,0.00,1,0.00e+00
0.00,0.00,0.00,0.00,0.00,0.00,43.40,0.00,1,0.00e+00
0.00,0.00,0.00,0.00,0.00,0.00,32.92,0.00,1,0.00e+00
0.00,0.00,0.00,0.00,0.00,0.00,44.10,0.00,1,0.00e+00
0.00,0.00,0.00,0.00,0.00,0.00,44.18,0.00,1,0.00e+00
0.00,0.00,0.00,0.00,0.00,0.00,44.27,0.00,1,0.00e+00
0.00,0.00,0.00,0.00,0.00,0.00,33.86,0.00,1,0.00e+00
0.00,0.00,0.00,0.00,0.00,0.00,43.60,0.00,1,0.00e+00
0.00,0.00,0.00,0.00,0.00,0.00,40.94,0.00,1,0.00e+00
0.00,0.00,0.00,0.00,0.00,0.00,43.29,0.00,1,0.00e+00
0.00,0.00,0.00,0.00,0.00,0.00,37.84,0.00,1,0.00e+00
0.00,0.00,0.00,0.00,0.00,0.00,39.65,0.00,1,0.00e+00
0.00,0.00,0.00,0.00,0.00,0.00,46.22,0.00,1,0.00e+00
0.00,0.00,0.00,0.00,0.00,0.00,49.78,0.00,1,0.00e+00
0.00,0.00,0.00,0.00,0.00,0.00,51.60,0.00,1,0.00e+00
0.00,0.00,0.00,0.00,0.00,0.00,45.15,0.00,1,0.00e+00
0.00,0.00,0.00,0.00,0.00,0.00,59.51,0.00,1,0.00e+00
0.00,0.00,0.00,0.00,0.00,0.00,69.33,0.00,1,0.00e+00
0.00,0.00,0.00,0.00,0.00,0.00,69.00,0.00,1,0.00e+00
0.00,0.00,0.00,0.00,0.00,0.00,70.58,0.00,1,0.00e+00
0.00,0.00,0.00,0.00,0.00,0.00,71.36,0.00,1,0.00e+00
0.00,0.00,0.00,0.00,0.00,0.00,80.96,0.00,1,0.00e+00
0.00,0.00,0.00,0.00,0.00,0.00,74.17,0.00,1,0.00e+00
0.00,0.00,0.00,0.00,0.00,0.00,83.68,0.00,1,0.00e+00
0.00,0.00,0.00,0.00,0.00,0.00,76.87,0.00,1,0.00e+00
0.00,0.00,0.00,0.00,0.00,0.00,55.29,0.00,1,0.00e+00
0.00,0.00,0.00,0.00,0.00,0.00,31.71,0.00,1,0.00e+00
0.00,-792.75,0.00,23.25,23.25,0.00,47.72,-25.00,2,-7.93e+02
0.00,-1193.00,0.00,46.50,46.50,0.00,41.82,-25.00,2,-1.99e+03
0.00,972.32,0.00,21.50,21.50,0.00,29.04,23.25,0,-1.01e+03
0.00,-726.00,0.00,44.75,44.75,0.00,-0.01,-25.00,2,-1.74e+03
-0.00,0.25,0.00,68.00,68.00,0.00,27.42,-25.00,2,-1.74e+03
0.00,-685.50,0.00,91.25,91.25,0.00,9.43,-25.00,2,-2.42e+03
