solar_reward,grid_battery_reward,solar_battery_reward,soc,soc_grid,soc_solar,curr_lmp,net_load,a,total_rwd
6.26,0.00,0.00,0.00,0.00,0.00,41.70,0.29,1,6.26e+00
6.06,0.00,0.00,0.00,0.00,0.00,40.37,0.29,1,1.23e+01
0.00,-1003.39,0.00,23.25,23.11,0.14,39.25,-24.85,2,-9.91e+02
5.70,0.00,0.00,23.25,23.11,0.14,42.59,0.29,1,-9.85e+02
6.19,0.00,0.00,23.25,23.11,0.14,42.58,0.29,1,-9.79e+02
6.19,0.00,0.00,23.25,23.11,0.14,42.34,0.29,1,-9.73e+02
6.15,0.00,0.00,23.25,23.11,0.14,41.36,0.29,1,-9.67e+02
6.01,0.00,0.00,23.25,23.11,0.14,42.38,0.29,1,-9.61e+02
6.17,0.00,0.00,23.25,23.11,0.14,42.40,0.29,1,-9.55e+02
6.17,0.00,0.00,23.25,23.11,0.14,42.32,0.29,1,-9.48e+02
6.16,0.00,0.00,23.25,23.11,0.14,41.32,0.29,1,-9.42e+02
6.02,0.00,0.00,23.25,23.11,0.14,41.43,0.29,1,-9.36e+02
6.04,0.00,0.00,23.25,23.11,0.14,41.66,0.29,1,-9.30e+02
6.07,0.00,0.00,23.25,23.11,0.14,42.18,0.29,1,-9.24e+02
6.15,0.00,0.00,23.25,23.11,0.14,42.74,0.29,1,-9.18e+02
6.23,0.00,0.00,23.25,23.11,0.14,43.03,0.29,1,-9.12e+02
0.97,0.00,0.00,23.25,23.11,0.14,44.30,0.04,1,-9.11e+02
0.99,0.00,0.00,23.25,23.11,0.14,47.42,0.04,1,-9.10e+02
1.06,0.00,0.00,23.25,23.11,0.14,53.69,0.04,1,-9.09e+02
1.21,1154.17,6.75,0.00,0.00,0.00,50.70,21.67,0,2.53e+02
15.58,0.00,0.00,0.00,0.00,0.00,53.35,0.61,1,2.69e+02
16.39,0.00,0.00,0.00,0.00,0.00,50.86,0.61,1,2.85e+02
15.63,0.00,0.00,0.00,0.00,0.00,45.30,0.61,1,3.01e+02
0.00,-1118.58,0.00,23.25,22.96,0.29,42.46,-24.69,2,-8.18e+02
0.00,-760.28,0.00,46.50,39.62,6.88,43.00,-17.91,2,-1.58e+03
0.00,-769.94,0.00,69.75,56.27,13.48,41.43,-17.91,2,-2.35e+03
0.00,-741.83,0.00,93.00,72.92,20.08,41.03,-17.91,2,-3.09e+03
0.00,-734.67,0.00,116.25,89.57,26.68,39.80,-17.91,2,-3.82e+03
0.00,-409.84,0.00,139.50,99.15,40.35,80.20,-10.30,2,-4.23e+03
1179.13,844.82,1019.83,114.50,87.82,26.68,48.26,52.65,0,-1.19e+03
0.00,-496.96,0.00,137.75,97.40,40.35,80.17,-10.30,2,-1.69e+03
1178.69,844.50,1019.45,112.75,86.07,26.68,42.71,52.65,0,1.36e+03
