solar_reward,grid_reward,soc,curr_lmp,net_load,a,total_rwd
0.00,-1181.00,25.00,46.90,-25.00,2,-1.18e+03
0.00,-1172.50,50.00,45.95,-25.00,2,-2.35e+03
0.00,-1148.75,75.00,34.77,-25.00,2,-3.50e+03
0.00,-869.25,100.00,46.67,-25.00,2,-4.37e+03
0.00,-1166.75,125.00,46.72,-25.00,2,-5.54e+03
0.00,-1168.00,150.00,46.67,-25.00,2,-6.71e+03
0.00,-1166.75,175.00,35.71,-25.00,2,-7.87e+03
0.00,-892.75,200.00,46.12,-25.00,2,-8.77e+03
0.00,-1153.00,225.00,43.35,-25.00,2,-9.92e+03
0.00,-1083.75,250.00,45.78,-25.00,2,-1.10e+04
0.00,-1144.50,275.00,40.04,-25.00,2,-1.21e+04
0.00,-1001.00,300.00,41.77,-25.00,2,-1.31e+04
0.00,-1044.25,325.00,48.53,-25.00,2,-1.42e+04
0.00,-1213.25,350.00,52.22,-25.00,2,-1.54e+04
0.00,-1305.50,375.00,53.91,-25.00,2,-1.67e+04
0.00,-1347.75,400.00,47.49,-25.00,2,-1.81e+04
0.00,-0.00,400.00,62.44,0.00,2,-1.81e+04
0.00,-0.00,400.00,72.63,0.00,2,-1.81e+04
0.00,1815.75,375.00,72.42,25.00,0,-1.62e+04
0.00,1810.50,350.00,74.52,25.00,0,-1.44e+04
0.00,-1863.00,375.00,75.85,-25.00,2,-1.63e+04
0.00,1896.25,350.00,86.11,25.00,0,-1.44e+04
0.00,2152.75,325.00,78.94,25.00,0,-1.22e+04
0.00,1973.50,300.00,83.68,25.00,0,-1.03e+04
83.17,2092.00,275.00,76.87,26.99,0,-8.10e+03
76.40,1921.75,250.00,55.29,26.99,0,-6.10e+03
54.95,1382.25,225.00,31.71,26.99,0,-4.66e+03
0.00,-761.23,250.00,50.62,-24.01,2,-5.42e+03
186.16,1265.50,225.00,45.67,32.36,0,-3.97e+03
167.95,1141.75,200.00,48.74,32.36,0,-2.66e+03
179.24,1218.50,175.00,-0.01,32.36,0,-1.26e+03
-0.00,0.21,200.00,152.42,-21.32,2,-1.26e+03
721.31,3810.50,175.00,47.28,34.46,0,3.27e+03
223.75,1182.00,150.00,26.51,34.46,0,4.67e+03
0.00,-537.29,175.00,-7.64,-20.27,2,4.14e+03
-0.00,154.84,200.00,32.44,-20.27,2,4.29e+03
0.00,-702.26,225.00,3.25,-21.65,2,3.59e+03
0.00,-70.36,250.00,-16.55,-21.65,2,3.52e+03
-0.00,358.27,275.00,-17.83,-21.65,2,3.88e+03
-0.00,385.98,300.00,-17.52,-21.65,2,4.26e+03
-0.00,390.55,325.00,-19.14,-22.29,2,4.65e+03
-0.00,426.66,350.00,-20.60,-22.29,2,5.08e+03
-0.00,459.20,375.00,-20.93,-22.29,2,5.54e+03
-0.00,466.56,400.00,-20.98,-22.29,2,6.01e+03
-41.62,0.00,400.00,-20.95,3.97,2,5.96e+03
-41.56,0.00,400.00,-25.07,3.97,2,5.92e+03
-49.74,0.00,400.00,-32.71,3.97,2,5.87e+03
-64.89,0.00,400.00,-32.72,3.97,2,5.81e+03
-57.08,0.00,400.00,-33.41,3.49,2,5.75e+03
-58.29,0.00,400.00,-35.36,3.49,2,5.69e+03
-61.69,0.00,400.00,-43.23,3.49,2,5.63e+03
-75.42,0.00,400.00,-32.91,3.49,2,5.56e+03
-53.31,0.00,400.00,-33.56,3.24,2,5.50e+03
-54.36,0.00,400.00,-33.04,3.24,2,5.45e+03
-53.52,0.00,400.00,-43.39,3.24,2,5.39e+03
-70.29,0.00,400.00,-35.89,3.24,2,5.32e+03
-63.98,0.00,400.00,-31.07,3.57,2,5.26e+03
-55.39,0.00,400.00,-26.31,3.57,2,5.20e+03
-46.90,0.00,400.00,-29.61,3.57,2,5.16e+03
-52.79,0.00,400.00,-25.16,3.57,2,5.10e+03
-68.09,0.00,400.00,-21.37,5.41,2,5.04e+03
-57.83,0.00,400.00,-20.05,5.41,2,4.98e+03
-54.26,0.00,400.00,-16.58,5.41,2,4.92e+03
-44.87,0.00,400.00,-16.24,5.41,2,4.88e+03
-61.58,0.00,400.00,-3.07,7.58,2,4.82e+03
-11.64,0.00,400.00,0.28,7.58,2,4.81e+03
1.06,-0.00,400.00,40.81,7.58,2,4.81e+03
154.76,-0.00,400.00,25.28,7.58,2,4.96e+03
42.19,-0.00,400.00,38.44,3.34,2,5.00e+03
64.15,-0.00,400.00,60.64,3.34,2,5.07e+03
101.20,-0.00,400.00,81.76,3.34,2,5.17e+03
136.44,-0.00,400.00,77.76,3.34,2,5.31e+03
0.68,-0.00,400.00,81.45,0.02,2,5.31e+03
0.71,-0.00,400.00,86.97,0.02,2,5.31e+03
0.76,-0.00,400.00,93.87,0.02,2,5.31e+03
0.82,2346.75,375.00,108.43,25.02,0,7.66e+03
0.00,2710.75,350.00,96.06,25.00,0,1.04e+04
0.00,2401.50,325.00,91.51,25.00,0,1.28e+04
0.00,2287.75,300.00,73.64,25.00,0,1.51e+04
0.00,1841.00,275.00,82.07,25.00,0,1.69e+04
0.00,2051.75,250.00,74.22,25.00,0,1.89e+04
0.00,1855.50,225.00,68.44,25.00,0,2.08e+04
0.00,1711.00,200.00,57.37,25.00,0,2.25e+04
0.00,1434.25,175.00,77.22,25.00,0,2.39e+04
0.00,1930.50,150.00,73.02,25.00,0,2.59e+04
0.00,-1825.50,175.00,66.62,-25.00,2,2.41e+04
0.00,1665.50,150.00,55.42,25.00,0,2.57e+04
0.00,-1385.50,175.00,72.68,-25.00,2,2.43e+04
0.00,1817.00,150.00,63.86,25.00,0,2.62e+04
0.00,-1596.50,175.00,60.87,-25.00,2,2.46e+04
0.00,-1521.75,200.00,56.41,-25.00,2,2.30e+04
0.00,-1410.25,225.00,73.72,-25.00,2,2.16e+04
0.00,1843.00,200.00,72.58,25.00,0,2.35e+04
0.00,1814.50,175.00,71.50,25.00,0,2.53e+04
0.00,1787.50,150.00,55.85,25.00,0,2.71e+04
0.00,-1396.25,175.00,64.67,-25.00,2,2.57e+04
0.00,1616.75,150.00,67.60,25.00,0,2.73e+04
0.00,-1690.00,175.00,67.61,-25.00,2,2.56e+04
0.00,1690.25,150.00,56.22,25.00,0,2.73e+04
0.00,-1405.50,175.00,67.17,-25.00,2,2.59e+04
0.00,-1679.25,200.00,67.19,-25.00,2,2.42e+04
0.00,1679.75,175.00,69.67,25.00,0,2.59e+04
0.00,1741.75,150.00,56.94,25.00,0,2.76e+04
0.00,-1423.50,175.00,66.21,-25.00,2,2.62e+04
0.00,1655.25,150.00,69.89,25.00,0,2.79e+04
0.00,-1747.25,175.00,70.02,-25.00,2,2.61e+04
0.00,1750.50,150.00,64.39,25.00,0,2.79e+04
0.00,-1609.75,175.00,60.12,-25.00,2,2.63e+04
0.00,-1503.00,200.00,70.29,-25.00,2,2.47e+04
0.00,1757.25,175.00,71.15,25.00,0,2.65e+04
0.00,1778.75,150.00,69.11,25.00,0,2.83e+04
0.00,-1727.75,175.00,71.12,-25.00,2,2.66e+04
0.00,-1778.00,200.00,70.96,-25.00,2,2.48e+04
0.00,1774.00,175.00,78.17,25.00,0,2.66e+04
0.00,1954.25,150.00,78.06,25.00,0,2.85e+04
0.00,-1951.50,175.00,80.39,-25.00,2,2.66e+04
0.00,2009.75,150.00,100.49,25.00,0,2.86e+04
0.00,2512.25,125.00,112.77,25.00,0,3.11e+04
0.00,2819.25,100.00,94.86,25.00,0,3.39e+04
0.00,-2371.50,125.00,80.83,-25.00,2,3.15e+04
86.27,2020.75,100.00,75.13,27.13,0,3.36e+04
80.18,1878.25,75.00,53.89,27.13,0,3.56e+04
0.00,-1289.73,100.00,28.36,-23.93,2,3.43e+04
0.00,-678.73,125.00,50.42,-23.93,2,3.36e+04
193.50,1260.50,100.00,171.10,32.68,0,3.51e+04
656.63,4277.50,75.00,124.64,32.68,0,4.00e+04
478.33,3116.00,50.00,31.72,32.68,0,4.36e+04
0.00,-671.27,75.00,140.41,-21.16,2,4.29e+04
579.70,3510.25,50.00,185.11,33.26,0,4.70e+04
764.25,4627.75,25.00,51.93,33.26,0,5.24e+04
0.00,-1083.85,50.00,12.54,-20.87,2,5.13e+04
0.00,-261.73,75.00,30.70,-20.87,2,5.11e+04
0.00,-648.59,100.00,11.43,-21.13,2,5.04e+04
0.00,-241.48,125.00,-16.69,-21.13,2,5.02e+04
-0.00,352.60,150.00,-20.86,-21.13,2,5.05e+04
-0.00,440.70,175.00,-20.91,-21.13,2,5.10e+04
-0.00,471.05,200.00,-20.72,-22.53,2,5.14e+04
-0.00,466.77,225.00,-21.11,-22.53,2,5.19e+04
-0.00,475.56,250.00,-26.18,-22.53,2,5.24e+04
-0.00,589.77,275.00,-20.87,-22.53,2,5.30e+04
-0.00,475.15,300.00,-21.17,-22.77,2,5.35e+04
-0.00,481.98,325.00,-21.42,-22.77,2,5.39e+04
-0.00,487.68,350.00,-30.25,-22.77,2,5.44e+04
-0.00,688.71,375.00,-23.90,-22.77,2,5.51e+04
-0.00,545.27,400.00,-26.10,-22.81,2,5.57e+04
-57.04,0.00,400.00,-26.74,4.37,2,5.56e+04
-58.44,0.00,400.00,-35.00,4.37,2,5.55e+04
-76.49,0.00,400.00,-23.38,4.37,2,5.55e+04
-50.55,0.00,400.00,-23.52,4.32,2,5.54e+04
-50.85,0.00,400.00,-23.86,4.32,2,5.54e+04
-51.59,0.00,400.00,-33.07,4.32,2,5.53e+04
-71.50,0.00,400.00,-22.74,4.32,2,5.52e+04
-52.45,0.00,400.00,-20.91,4.61,2,5.52e+04
-48.22,0.00,400.00,-20.92,4.61,2,5.51e+04
-48.25,0.00,400.00,-20.85,4.61,2,5.51e+04
-48.09,0.00,400.00,-20.52,4.61,2,5.50e+04
-61.86,0.00,400.00,-20.31,6.03,2,5.50e+04
-61.23,0.00,400.00,-13.26,6.03,2,5.49e+04
-39.97,0.00,400.00,-11.54,6.03,2,5.49e+04
-34.79,0.00,400.00,-7.57,6.03,2,5.48e+04
-32.01,0.00,400.00,-0.01,8.46,2,5.48e+04
-0.04,0.00,400.00,38.25,8.46,2,5.48e+04
161.75,-0.00,400.00,44.33,8.46,2,5.50e+04
187.47,-0.00,400.00,30.53,8.46,2,5.52e+04
57.65,-0.00,400.00,43.38,3.78,2,5.52e+04
81.92,-0.00,400.00,79.37,3.78,2,5.53e+04
149.88,-0.00,400.00,87.09,3.78,2,5.54e+04
164.45,-0.00,400.00,83.36,3.78,2,5.56e+04
1.05,-0.00,400.00,108.18,0.03,2,5.56e+04
1.36,2704.50,375.00,104.31,25.03,0,5.83e+04
1.32,2607.75,350.00,93.08,25.03,0,6.09e+04
1.17,2327.00,325.00,106.14,25.03,0,6.33e+04
0.00,2653.50,300.00,88.79,25.00,0,6.59e+04
0.00,2219.75,275.00,88.75,25.00,0,6.81e+04
0.00,2218.75,250.00,80.63,25.00,0,7.03e+04
0.00,2015.75,225.00,101.86,25.00,0,7.24e+04
0.00,2546.50,200.00,87.39,25.00,0,7.49e+04
0.00,2184.75,175.00,84.31,25.00,0,7.71e+04
0.00,2107.75,150.00,68.77,25.00,0,7.92e+04
0.00,1719.25,125.00,93.08,25.00,0,8.09e+04
0.00,2327.00,100.00,81.32,25.00,0,8.33e+04
0.00,-2033.00,125.00,78.04,-25.00,2,8.12e+04
0.00,-1951.00,150.00,66.71,-25.00,2,7.93e+04
0.00,-1667.75,175.00,85.02,-25.00,2,7.76e+04
0.00,2125.50,150.00,69.01,25.00,0,7.97e+04
0.00,-1725.25,175.00,62.96,-25.00,2,7.80e+04
0.00,1574.00,150.00,51.76,25.00,0,7.96e+04
0.00,-1294.00,175.00,87.21,-25.00,2,7.83e+04
0.00,2180.25,150.00,70.74,25.00,0,8.05e+04
0.00,-1768.50,175.00,84.44,-25.00,2,7.87e+04
0.00,2111.00,150.00,64.04,25.00,0,8.08e+04
0.00,-1601.00,175.00,83.68,-25.00,2,7.92e+04
0.00,2092.00,150.00,77.43,25.00,0,8.13e+04
0.00,-1935.75,175.00,83.75,-25.00,2,7.94e+04
0.00,2093.75,150.00,75.99,25.00,0,8.15e+04
0.00,-1899.75,175.00,84.68,-25.00,2,7.96e+04
0.00,2117.00,150.00,84.05,25.00,0,8.17e+04
0.00,-2101.25,175.00,84.04,-25.00,2,7.96e+04
0.00,2101.00,150.00,76.28,25.00,0,8.17e+04
0.00,-1907.00,175.00,88.34,-25.00,2,7.98e+04
0.00,2208.50,150.00,89.97,25.00,0,8.20e+04
0.00,-2249.25,175.00,91.57,-25.00,2,7.97e+04
0.00,2289.25,150.00,86.77,25.00,0,8.20e+04
0.00,-2169.25,175.00,82.08,-25.00,2,7.98e+04
0.00,-2052.00,200.00,98.83,-25.00,2,7.78e+04
0.00,2470.75,175.00,95.25,25.00,0,8.03e+04
0.00,2381.25,150.00,103.31,25.00,0,8.26e+04
0.00,-2582.75,175.00,98.48,-25.00,2,8.01e+04
0.00,-2462.00,200.00,104.06,-25.00,2,7.76e+04
0.00,2601.50,175.00,115.43,25.00,0,8.02e+04
0.00,2885.75,150.00,121.96,25.00,0,8.31e+04
0.00,3049.00,125.00,118.18,25.00,0,8.61e+04
0.00,-2954.50,150.00,151.16,-25.00,2,8.32e+04
0.00,3779.00,125.00,193.89,25.00,0,8.70e+04
0.00,4847.25,100.00,264.09,25.00,0,9.18e+04
0.00,6602.25,75.00,257.60,25.00,0,9.84e+04
318.40,6440.00,50.00,263.68,27.47,0,1.05e+05
325.91,6592.00,25.00,121.69,27.47,0,1.12e+05
0.00,-2891.84,50.00,57.81,-23.76,2,1.09e+05
0.00,-1373.80,75.00,78.97,-23.76,2,1.08e+05
0.00,-1631.16,100.00,52.94,-20.66,2,1.06e+05
