solar_reward,grid_battery_reward,solar_battery_reward,soc,soc_grid,soc_solar,curr_lmp,net_load,a,total_rwd
0.02,0.00,0.00,0.00,0.00,0.00,37.64,0.00,1,2.30e-02
0.00,-940.98,0.00,23.25,23.25,0.00,36.54,-25.00,2,-9.41e+02
0.00,-913.48,0.00,46.50,46.50,0.00,35.48,-25.00,2,-1.85e+03
0.00,-886.98,0.00,69.75,69.75,0.00,38.26,-25.00,2,-2.74e+03
25.87,0.00,0.00,69.75,69.75,0.00,38.21,1.35,1,-2.72e+03
25.84,0.00,0.00,69.75,69.75,0.00,38.11,1.35,1,-2.69e+03
25.77,0.00,0.00,69.75,69.75,0.00,37.34,1.35,1,-2.66e+03
25.25,0.00,0.00,69.75,69.75,0.00,38.26,1.35,1,-2.64e+03
237.33,0.00,0.00,69.75,69.75,0.00,38.27,12.41,1,-2.40e+03
237.39,0.00,0.00,69.75,69.75,0.00,38.18,12.41,1,-2.16e+03
236.83,0.00,0.00,69.75,69.75,0.00,37.28,12.41,1,-1.93e+03
231.25,0.00,0.00,69.75,69.75,0.00,37.50,12.41,1,-1.70e+03
492.95,0.00,0.00,69.75,69.75,0.00,37.71,26.29,1,-1.20e+03
495.71,0.00,0.00,69.75,69.75,0.00,38.24,26.29,1,-7.07e+02
502.68,0.00,0.00,69.75,69.75,0.00,38.78,26.29,1,-2.05e+02
509.78,0.00,0.00,69.75,69.75,0.00,39.44,26.29,1,3.05e+02
618.97,0.00,0.00,69.75,69.75,0.00,40.73,31.39,1,9.24e+02
639.22,0.00,0.00,69.75,69.75,0.00,43.65,31.39,1,1.56e+03
685.04,0.00,0.00,69.75,69.75,0.00,49.53,31.39,1,2.25e+03
777.33,0.00,0.00,69.75,69.75,0.00,46.13,31.39,1,3.03e+03
746.70,0.00,0.00,69.75,69.75,0.00,48.69,32.37,1,3.77e+03
788.14,0.00,0.00,69.75,69.75,0.00,46.51,32.37,1,4.56e+03
752.86,0.00,0.00,69.75,69.75,0.00,41.65,32.37,1,5.31e+03
674.19,0.00,0.00,69.75,69.75,0.00,42.46,32.37,1,5.99e+03
714.92,0.00,0.00,69.75,69.75,0.00,39.73,33.68,1,6.70e+03
668.96,0.00,0.00,69.75,69.75,0.00,38.16,33.68,1,7.37e+03
642.52,0.00,0.00,69.75,69.75,0.00,37.39,33.68,1,8.01e+03
629.56,0.00,0.00,69.75,69.75,0.00,32.16,33.68,1,8.64e+03
0.00,-239.84,0.00,93.00,76.68,16.32,33.51,-7.46,2,8.40e+03
0.00,-249.90,0.00,116.25,83.62,32.63,36.29,-7.46,2,8.15e+03
0.00,-270.64,0.00,139.50,90.56,48.94,37.53,-7.46,2,7.88e+03
0.00,-279.88,0.00,162.75,97.49,65.26,36.12,-7.46,2,7.60e+03
0.00,-263.65,0.00,186.00,104.28,81.72,36.21,-7.30,2,7.34e+03
640.94,0.00,0.00,186.00,104.28,81.72,35.56,35.40,1,7.98e+03
629.44,0.00,0.00,186.00,104.28,81.72,25.76,35.40,1,8.61e+03
0.00,-188.03,0.00,209.25,111.07,98.18,24.68,-7.30,2,8.42e+03
0.00,-205.47,0.00,232.50,118.81,113.69,28.14,-8.33,2,8.22e+03
0.00,-234.28,0.00,255.75,126.55,129.20,25.71,-8.33,2,7.98e+03
0.00,-214.05,0.00,279.00,134.30,144.70,24.87,-8.33,2,7.77e+03
0.00,-207.05,0.00,302.25,142.04,160.21,24.86,-8.33,2,7.56e+03
386.05,0.00,0.00,302.25,142.04,160.21,31.51,31.06,1,7.95e+03
0.00,-298.44,0.00,325.50,150.85,174.65,33.11,-9.47,2,7.65e+03
0.00,-313.59,0.00,348.75,159.65,189.10,38.02,-9.47,2,7.34e+03
590.40,0.00,0.00,348.75,159.65,189.10,30.05,31.06,1,7.93e+03
422.93,0.00,0.00,348.75,159.65,189.10,33.09,28.15,1,8.35e+03
465.72,0.00,0.00,348.75,159.65,189.10,37.34,28.15,1,8.81e+03
525.54,0.00,0.00,348.75,159.65,189.10,38.01,28.15,1,9.34e+03
534.97,0.00,0.00,348.75,159.65,189.10,27.38,28.15,1,9.87e+03
307.70,0.00,0.00,348.75,159.65,189.10,32.36,22.48,1,1.02e+04
363.66,0.00,0.00,348.75,159.65,189.10,37.47,22.48,1,1.05e+04
421.09,0.00,0.00,348.75,159.65,189.10,39.64,22.48,1,1.10e+04
445.48,0.00,0.00,348.75,159.65,189.10,30.56,22.48,1,1.14e+04
0.00,-626.84,0.00,372.00,178.73,193.27,33.24,-20.51,2,1.08e+04
149.19,0.00,0.00,371.61,178.34,193.27,37.08,8.98,1,1.09e+04
166.42,0.00,0.00,371.23,177.96,193.27,40.26,8.98,1,1.11e+04
180.69,0.00,0.00,370.84,177.57,193.27,43.39,8.98,1,1.13e+04
9.58,0.00,0.00,370.45,177.18,193.27,50.06,0.44,1,1.13e+04
11.06,0.00,0.00,370.07,176.80,193.27,61.81,0.44,1,1.13e+04
13.65,0.00,0.00,369.68,176.41,193.27,64.75,0.44,1,1.13e+04
14.30,1254.09,251.34,344.30,155.20,189.10,48.58,23.69,0,1.28e+04
0.00,0.00,0.00,344.30,155.20,189.10,50.95,0.00,1,1.28e+04
0.00,500.29,684.30,319.30,144.64,174.65,50.95,23.25,0,1.40e+04
0.00,490.27,694.32,294.30,134.30,160.00,50.95,23.25,0,1.52e+04
0.00,366.88,817.71,269.30,126.55,142.74,48.49,23.25,0,1.64e+04
0.00,349.16,778.23,244.30,118.81,125.49,40.64,23.25,0,1.75e+04
