solar_reward,grid_battery_reward,solar_battery_reward,soc,soc_grid,soc_solar,curr_lmp,net_load,a,total_rwd
0.02,0.00,0.00,0.00,0.00,0.00,37.64,0.00,1,2.30e-02
0.02,0.00,0.00,0.00,0.00,0.00,36.54,0.00,1,4.52e-02
0.02,0.00,0.00,0.00,0.00,0.00,35.48,0.00,1,6.68e-02
0.02,0.00,0.00,0.00,0.00,0.00,38.26,0.00,1,8.78e-02
25.87,0.00,0.00,0.00,0.00,0.00,38.21,1.35,1,2.60e+01
25.84,0.00,0.00,0.00,0.00,0.00,38.11,1.35,1,5.18e+01
25.77,0.00,0.00,0.00,0.00,0.00,37.34,1.35,1,7.76e+01
25.25,0.00,0.00,0.00,0.00,0.00,38.26,1.35,1,1.03e+02
0.00,-719.17,0.00,23.25,17.48,5.77,38.27,-18.80,2,-6.16e+02
237.39,0.00,0.00,23.25,17.48,5.77,38.18,12.41,1,-3.79e+02
236.83,0.00,0.00,23.25,17.48,5.77,37.28,12.41,1,-1.42e+02
231.25,0.00,0.00,23.25,17.48,5.77,37.50,12.41,1,8.91e+01
492.95,609.65,201.19,0.00,0.00,0.00,37.71,47.91,0,1.39e+03
495.71,0.00,0.00,0.00,0.00,0.00,38.24,26.29,0,1.89e+03
502.68,0.00,0.00,0.00,0.00,0.00,38.78,26.29,0,2.39e+03
509.78,0.00,0.00,0.00,0.00,0.00,39.44,26.29,0,2.90e+03
618.97,0.00,0.00,0.00,0.00,0.00,40.73,31.39,1,3.52e+03
639.22,0.00,0.00,0.00,0.00,0.00,43.65,31.39,1,4.16e+03
685.04,0.00,0.00,0.00,0.00,0.00,49.53,31.39,0,4.84e+03
777.33,0.00,0.00,0.00,0.00,0.00,46.13,31.39,0,5.62e+03
746.70,0.00,0.00,0.00,0.00,0.00,48.69,32.37,1,6.37e+03
788.14,0.00,0.00,0.00,0.00,0.00,46.51,32.37,1,7.16e+03
752.86,0.00,0.00,0.00,0.00,0.00,41.65,32.37,1,7.91e+03
0.00,-367.06,0.00,23.25,8.20,15.05,42.46,-8.81,2,7.54e+03
0.00,-346.58,0.00,46.50,15.79,30.71,39.73,-8.16,2,7.20e+03
0.00,-324.29,0.00,69.75,23.38,46.37,38.16,-8.16,2,6.87e+03
0.00,-311.48,0.00,93.00,30.97,62.03,37.39,-8.16,2,6.56e+03
0.00,-305.19,0.00,116.25,38.56,77.69,32.16,-8.16,2,6.25e+03
0.00,-239.84,0.00,139.50,45.50,94.00,33.51,-7.46,2,6.01e+03
0.00,-249.90,0.00,162.75,52.43,110.32,36.29,-7.46,2,5.77e+03
0.00,-270.64,0.00,186.00,59.37,126.63,37.53,-7.46,2,5.49e+03
0.00,-279.88,0.00,209.25,66.30,142.95,36.12,-7.46,2,5.21e+03
0.00,-263.65,0.00,232.50,73.09,159.41,36.21,-7.30,2,4.95e+03
0.00,-264.31,0.00,255.75,79.88,175.87,35.56,-7.30,2,4.69e+03
0.00,-259.56,0.00,279.00,86.67,192.33,25.76,-7.30,2,4.43e+03
0.00,-188.03,0.00,302.25,93.46,208.79,24.68,-7.30,2,4.24e+03
0.00,-205.47,0.00,325.50,101.20,224.30,28.14,-8.33,2,4.03e+03
0.00,-234.28,0.00,348.75,108.94,239.81,25.71,-8.33,2,3.80e+03
0.00,-214.05,0.00,372.00,116.68,255.32,24.87,-8.33,2,3.59e+03
0.00,-207.05,0.00,394.86,124.04,270.82,24.86,-8.33,2,3.38e+03
248.10,-0.00,0.00,399.61,123.63,275.98,31.51,9.98,2,3.63e+03
463.96,-0.00,0.00,399.94,123.63,276.32,33.11,14.72,2,4.09e+03
498.50,-0.00,0.00,399.97,123.63,276.34,38.02,15.06,2,4.59e+03
573.31,-0.00,0.00,399.97,123.63,276.34,30.05,15.08,2,5.16e+03
409.47,-0.00,0.00,399.97,123.63,276.34,33.09,13.63,2,5.57e+03
450.90,-0.00,0.00,399.97,123.63,276.34,37.34,13.63,2,6.02e+03
508.81,-0.00,0.00,399.97,123.63,276.34,38.01,13.63,2,6.53e+03
517.94,-0.00,0.00,399.97,123.63,276.34,27.38,13.63,2,7.05e+03
295.43,-0.00,0.00,399.97,123.63,276.34,32.36,10.79,2,7.34e+03
363.66,220.64,531.73,374.55,116.30,258.26,37.47,45.73,0,8.46e+03
421.09,256.31,614.87,349.16,108.94,240.22,39.64,45.73,0,9.75e+03
445.48,334.77,586.86,324.16,99.86,224.30,30.56,45.73,0,1.11e+04
137.16,269.79,440.73,299.16,90.37,208.79,33.24,32.23,0,1.20e+04
149.19,263.95,508.88,274.16,81.83,192.33,37.08,32.23,0,1.29e+04
166.42,294.44,567.67,249.16,73.29,175.87,40.26,32.23,0,1.39e+04
180.69,261.66,674.39,224.16,66.30,157.86,43.39,32.23,0,1.50e+04
9.58,279.87,728.95,199.16,59.37,139.79,50.06,23.69,0,1.61e+04
11.06,322.89,841.00,174.16,52.43,121.73,61.81,23.69,0,1.72e+04
13.65,398.68,1038.40,149.16,45.50,103.67,64.75,23.69,0,1.87e+04
14.30,417.64,1087.80,124.16,38.56,85.60,48.58,23.69,0,2.02e+04
0.00,342.96,786.53,99.16,30.97,68.19,50.95,23.25,0,2.13e+04
0.00,359.69,824.90,74.16,23.38,50.78,50.95,23.25,0,2.25e+04
0.00,359.69,824.90,49.16,15.79,33.37,50.95,23.25,0,2.37e+04
0.00,359.69,824.90,24.16,8.20,15.97,48.49,23.25,0,2.49e+04
0.00,369.61,719.99,0.00,0.00,0.00,40.64,22.47,0,2.60e+04
0.00,0.00,0.00,0.00,0.00,0.00,40.64,0.00,1,2.60e+04
0.00,0.00,0.00,0.00,0.00,0.00,59.93,0.00,1,2.60e+04
0.00,0.00,0.00,0.00,0.00,0.00,49.92,0.00,0,2.60e+04
0.03,0.00,0.00,0.00,0.00,0.00,60.19,0.00,0,2.60e+04
0.03,0.00,0.00,0.00,0.00,0.00,89.08,0.00,0,2.60e+04
0.05,0.00,0.00,0.00,0.00,0.00,127.62,0.00,0,2.60e+04
0.07,0.00,0.00,0.00,0.00,0.00,78.15,0.00,0,2.60e+04
0.00,0.00,0.00,0.00,0.00,0.00,92.19,0.00,0,2.60e+04
0.00,0.00,0.00,0.00,0.00,0.00,92.23,0.00,0,2.60e+04
0.00,0.00,0.00,0.00,0.00,0.00,169.45,0.00,0,2.60e+04
0.00,0.00,0.00,0.00,0.00,0.00,71.55,0.00,0,2.60e+04
0.13,0.00,0.00,0.00,0.00,0.00,70.74,0.00,0,2.60e+04
0.13,0.00,0.00,0.00,0.00,0.00,65.89,0.00,0,2.60e+04
0.12,0.00,0.00,0.00,0.00,0.00,59.30,0.00,0,2.60e+04
0.11,0.00,0.00,0.00,0.00,0.00,70.38,0.00,0,2.60e+04
0.16,0.00,0.00,0.00,0.00,0.00,70.08,0.00,0,2.60e+04
0.16,0.00,0.00,0.00,0.00,0.00,65.75,0.00,0,2.60e+04
0.15,0.00,0.00,0.00,0.00,0.00,53.62,0.00,0,2.60e+04
0.12,0.00,0.00,0.00,0.00,0.00,53.48,0.00,0,2.60e+04
0.15,0.00,0.00,0.00,0.00,0.00,53.11,0.01,0,2.60e+04
0.15,0.00,0.00,0.00,0.00,0.00,49.87,0.01,0,2.60e+04
0.14,0.00,0.00,0.00,0.00,0.00,45.78,0.01,0,2.60e+04
0.13,0.00,0.00,0.00,0.00,0.00,53.66,0.01,0,2.60e+04
0.00,0.00,0.00,0.00,0.00,0.00,46.01,0.00,0,2.60e+04
0.00,0.00,0.00,0.00,0.00,0.00,43.20,0.00,0,2.60e+04
0.00,0.00,0.00,0.00,0.00,0.00,39.74,0.00,0,2.60e+04
0.00,0.00,0.00,0.00,0.00,0.00,50.74,0.00,0,2.60e+04
0.00,0.00,0.00,0.00,0.00,0.00,46.93,0.00,0,2.60e+04
0.00,0.00,0.00,0.00,0.00,0.00,42.90,0.00,0,2.60e+04
0.00,0.00,0.00,0.00,0.00,0.00,40.08,0.00,1,2.60e+04
0.00,0.00,0.00,0.00,0.00,0.00,44.26,0.00,1,2.60e+04
0.00,0.00,0.00,0.00,0.00,0.00,41.79,0.00,0,2.60e+04
0.00,0.00,0.00,0.00,0.00,0.00,40.01,0.00,0,2.60e+04
0.00,0.00,0.00,0.00,0.00,0.00,38.72,0.00,1,2.60e+04
0.00,0.00,0.00,0.00,0.00,0.00,40.40,0.00,1,2.60e+04
27.74,0.00,0.00,0.00,0.00,0.00,40.52,1.37,1,2.60e+04
27.83,0.00,0.00,0.00,0.00,0.00,39.61,1.37,1,2.60e+04
27.20,0.00,0.00,0.00,0.00,0.00,39.48,1.37,1,2.61e+04
27.11,0.00,0.00,0.00,0.00,0.00,41.35,1.37,1,2.61e+04
0.00,-797.97,0.00,23.25,17.95,5.30,42.60,-19.30,2,2.53e+04
242.91,0.00,0.00,23.25,17.95,5.30,41.92,11.40,1,2.55e+04
239.03,0.00,0.00,23.25,17.95,5.30,40.53,11.40,1,2.58e+04
0.00,-782.14,0.00,46.50,35.89,10.61,41.09,-19.30,2,2.50e+04
432.65,752.70,202.65,21.50,16.20,5.30,42.75,44.31,0,2.64e+04
450.12,643.95,210.83,0.00,0.00,0.00,43.50,41.05,0,2.77e+04
458.02,0.00,0.00,0.00,0.00,0.00,45.79,21.06,1,2.81e+04
482.13,0.00,0.00,0.00,0.00,0.00,40.92,21.06,1,2.86e+04
562.82,0.00,0.00,0.00,0.00,0.00,43.31,27.51,1,2.92e+04
595.69,0.00,0.00,0.00,0.00,0.00,49.51,27.51,1,2.98e+04
680.97,0.00,0.00,0.00,0.00,0.00,57.11,27.51,0,3.05e+04
785.50,0.00,0.00,0.00,0.00,0.00,50.25,27.51,0,3.12e+04
816.41,0.00,0.00,0.00,0.00,0.00,52.43,32.49,1,3.21e+04
851.83,0.00,0.00,0.00,0.00,0.00,55.41,32.49,1,3.29e+04
900.24,0.00,0.00,0.00,0.00,0.00,43.71,32.49,0,3.38e+04
0.00,-382.60,0.00,23.25,8.14,15.11,49.48,-8.75,2,3.34e+04
831.06,0.00,0.00,23.25,8.14,15.11,43.78,33.59,1,3.43e+04
0.00,-359.17,0.00,46.50,15.77,30.73,41.46,-8.20,2,3.39e+04
0.00,-340.14,0.00,69.75,23.40,46.35,38.37,-8.20,2,3.36e+04
0.00,-314.79,0.00,93.00,31.03,61.97,37.77,-8.20,2,3.32e+04
0.00,-300.71,0.00,116.25,38.43,77.82,36.44,-7.96,2,3.29e+04
0.00,-290.12,0.00,139.50,45.84,93.66,38.24,-7.96,2,3.27e+04
0.00,-304.45,0.00,162.75,53.24,109.51,38.09,-7.96,2,3.24e+04
0.00,-303.26,0.00,186.00,60.65,125.35,38.85,-7.96,2,3.20e+04
0.00,-311.72,0.00,209.25,68.11,141.14,38.66,-8.02,2,3.17e+04
0.00,-310.19,0.00,232.50,75.57,156.93,38.52,-8.02,2,3.14e+04
0.00,-309.07,0.00,255.75,83.03,172.72,38.30,-8.02,2,3.11e+04
0.00,-307.31,0.00,279.00,90.49,188.51,40.54,-8.02,2,3.08e+04
0.00,-365.00,0.00,302.25,98.87,203.38,39.43,-9.00,2,3.04e+04
0.00,-355.00,0.00,325.50,107.24,218.26,38.49,-9.00,2,3.01e+04
0.00,-346.54,0.00,348.75,115.61,233.14,39.08,-9.00,2,2.97e+04
0.00,-351.85,0.00,372.00,123.99,248.01,38.04,-9.00,2,2.94e+04
