solar_reward,grid_reward,soc,curr_lmp,net_load,a,total_rwd
0.00,-1206.75,25.00,47.89,-25.00,2,-1.21e+03
0.00,-1197.25,50.00,46.86,-25.00,2,-2.40e+03
0.00,-1171.50,75.00,35.43,-25.00,2,-3.58e+03
0.00,-885.75,100.00,47.62,-25.00,2,-4.46e+03
0.00,-1190.50,125.00,47.66,-25.00,2,-5.65e+03
0.00,-1191.50,150.00,47.66,-25.00,2,-6.84e+03
0.00,-1191.50,175.00,36.33,-25.00,2,-8.03e+03
0.00,-908.25,200.00,47.01,-25.00,2,-8.94e+03
0.00,-1175.25,225.00,44.13,-25.00,2,-1.01e+04
0.00,-1103.25,250.00,46.64,-25.00,2,-1.12e+04
0.00,-1166.00,275.00,40.67,-25.00,2,-1.24e+04
0.00,-1016.75,300.00,42.58,-25.00,2,-1.34e+04
0.00,-1064.50,325.00,49.64,-25.00,2,-1.45e+04
0.00,-1241.00,350.00,53.45,-25.00,2,-1.57e+04
0.00,-1336.25,375.00,55.22,-25.00,2,-1.70e+04
0.00,-1380.50,400.00,48.56,-25.00,2,-1.84e+04
0.00,-0.00,400.00,64.11,0.00,2,-1.84e+04
0.00,-0.00,400.00,74.51,0.00,2,-1.84e+04
0.00,-0.00,400.00,74.08,0.00,2,-1.84e+04
0.00,-0.00,400.00,76.65,0.00,2,-1.84e+04
0.00,-0.00,400.00,77.95,0.00,2,-1.84e+04
0.00,1948.75,375.00,88.90,25.00,0,-1.65e+04
0.00,2222.50,350.00,81.33,25.00,0,-1.43e+04
0.00,2033.25,325.00,83.68,25.00,0,-1.22e+04
0.00,2092.00,300.00,76.87,25.00,0,-1.01e+04
0.00,1921.75,275.00,55.29,25.00,0,-8.21e+03
0.00,1382.25,250.00,31.71,25.00,0,-6.83e+03
0.00,792.75,225.00,51.42,25.00,0,-6.03e+03
0.00,1285.50,200.00,45.68,25.00,0,-4.75e+03
0.00,1142.00,175.00,37.01,25.00,0,-3.61e+03
0.00,-925.25,200.00,-0.01,-25.00,2,-4.53e+03
-0.00,0.25,225.00,68.38,-25.00,2,-4.53e+03
0.00,-1709.50,250.00,20.15,-25.00,2,-6.24e+03
0.00,-503.75,275.00,9.71,-25.00,2,-6.74e+03
0.00,-242.75,300.00,-10.49,-25.00,2,-6.99e+03
-0.00,262.25,325.00,9.15,-25.00,2,-6.72e+03
0.00,-228.75,350.00,-5.51,-25.00,2,-6.95e+03
-0.00,137.75,375.00,-17.02,-25.00,2,-6.82e+03
-0.00,425.50,400.00,-18.44,-25.00,2,-6.39e+03
-0.00,0.00,400.00,-18.13,0.00,2,-6.39e+03
-0.00,0.00,400.00,-19.82,0.00,2,-6.39e+03
-0.00,0.00,400.00,-21.30,0.00,2,-6.39e+03
-0.00,0.00,400.00,-21.58,0.00,2,-6.39e+03
-0.00,0.00,400.00,-21.73,0.00,2,-6.39e+03
-0.00,0.00,400.00,-21.71,0.00,2,-6.39e+03
-0.00,0.00,400.00,-25.99,0.00,2,-6.39e+03
-0.00,0.00,400.00,-33.89,0.00,2,-6.39e+03
-0.00,0.00,400.00,-33.88,0.00,2,-6.39e+03
-0.00,0.00,400.00,-34.58,0.00,2,-6.39e+03
-0.00,0.00,400.00,-36.62,0.00,2,-6.39e+03
-0.00,0.00,400.00,-44.76,0.00,1,-6.39e+03
-0.00,0.00,400.00,-33.93,0.00,1,-6.39e+03
-0.00,0.00,400.00,-34.60,0.00,1,-6.39e+03
-0.00,0.00,400.00,-34.05,0.00,1,-6.39e+03
-0.00,0.00,400.00,-44.78,0.00,1,-6.39e+03
-0.00,0.00,400.00,-36.72,0.00,1,-6.39e+03
-0.00,0.00,400.00,-31.79,0.00,1,-6.39e+03
-0.00,0.00,400.00,-26.89,0.00,1,-6.39e+03
-0.00,0.00,400.00,-30.38,0.00,1,-6.39e+03
-0.00,0.00,400.00,-25.73,0.00,1,-6.39e+03
-0.00,0.00,400.00,-21.83,0.00,1,-6.39e+03
-0.00,0.00,400.00,-20.49,0.00,1,-6.39e+03
-0.00,0.00,400.00,-17.08,0.00,1,-6.39e+03
-0.00,0.00,400.00,-16.71,0.00,2,-6.39e+03
-0.00,0.00,400.00,-3.17,0.00,2,-6.39e+03
-0.00,0.00,400.00,0.29,0.00,2,-6.39e+03
0.00,-0.00,400.00,42.06,0.00,2,-6.39e+03
0.00,-0.00,400.00,25.96,0.00,2,-6.39e+03
0.00,-0.00,400.00,39.58,0.00,2,-6.39e+03
0.00,-0.00,400.00,62.32,0.00,2,-6.39e+03
0.00,-0.00,400.00,83.83,0.00,2,-6.39e+03
0.00,-0.00,400.00,80.17,0.00,2,-6.39e+03
0.00,-0.00,400.00,84.06,0.00,2,-6.39e+03
0.00,-0.00,400.00,89.93,0.00,2,-6.39e+03
0.00,-0.00,400.00,96.37,0.00,2,-6.39e+03
0.00,-0.00,400.00,111.44,0.00,2,-6.39e+03
0.00,-0.00,400.00,98.71,0.00,2,-6.39e+03
0.00,2467.75,375.00,94.11,25.00,0,-3.92e+03
0.00,2352.75,350.00,75.28,25.00,0,-1.57e+03
0.00,1882.00,325.00,84.19,25.00,0,3.12e+02
0.00,2104.75,300.00,76.08,25.00,0,2.42e+03
0.00,1902.00,275.00,70.26,25.00,0,4.32e+03
0.00,1756.50,250.00,58.88,25.00,0,6.08e+03
0.00,1472.00,225.00,78.79,25.00,0,7.55e+03
0.00,1969.75,200.00,74.41,25.00,0,9.52e+03
0.00,-1860.25,225.00,67.87,-25.00,2,7.66e+03
0.00,-1696.75,250.00,56.20,-25.00,2,5.96e+03
0.00,-1405.00,275.00,74.35,-25.00,2,4.56e+03
0.00,1858.75,250.00,65.28,25.00,0,6.41e+03
0.00,1632.00,225.00,62.22,25.00,0,8.05e+03
0.00,-1555.50,250.00,57.51,-25.00,2,6.49e+03
0.00,-1437.75,275.00,74.66,-25.00,2,5.05e+03
0.00,1866.50,250.00,73.51,25.00,0,6.92e+03
0.00,-1837.75,275.00,72.33,-25.00,2,5.08e+03
0.00,-1808.25,300.00,56.32,-25.00,2,3.27e+03
0.00,1408.00,275.00,65.23,25.00,0,4.68e+03
0.00,1630.75,250.00,68.12,25.00,0,6.31e+03
0.00,1703.00,225.00,68.11,25.00,0,8.02e+03
0.00,-1702.75,250.00,56.67,-25.00,2,6.31e+03
0.00,-1416.75,275.00,67.87,-25.00,2,4.90e+03
0.00,-1696.75,300.00,67.88,-25.00,2,3.20e+03
0.00,1697.00,275.00,70.44,25.00,0,4.90e+03
0.00,1761.00,250.00,57.55,25.00,0,6.66e+03
0.00,-1438.75,275.00,67.00,-25.00,2,5.22e+03
0.00,1675.00,250.00,70.71,25.00,0,6.89e+03
0.00,-1767.75,275.00,70.84,-25.00,2,5.13e+03
0.00,1771.00,250.00,65.15,25.00,0,6.90e+03
0.00,-1628.75,275.00,60.78,-25.00,2,5.27e+03
0.00,1519.50,250.00,71.10,25.00,0,6.79e+03
0.00,-1777.50,275.00,71.94,-25.00,2,5.01e+03
0.00,1798.50,250.00,69.69,25.00,0,6.81e+03
0.00,-1742.25,275.00,72.30,-25.00,2,5.07e+03
0.00,-1807.50,300.00,72.15,-25.00,2,3.26e+03
0.00,1803.75,275.00,79.45,25.00,0,5.06e+03
0.00,1986.25,250.00,79.29,25.00,0,7.05e+03
0.00,-1982.25,275.00,81.43,-25.00,2,5.07e+03
0.00,2035.75,250.00,101.78,25.00,0,7.10e+03
0.00,-2544.50,275.00,114.36,-25.00,2,4.56e+03
0.00,-2859.00,300.00,96.19,-25.00,2,1.70e+03
