solar_reward,grid_battery_reward,solar_battery_reward,soc,soc_grid,soc_solar,curr_lmp,net_load,a,total_rwd
0.00,-1136.25,0.00,23.25,23.25,0.00,45.14,-25.00,2,-1.14e+03
0.00,-1128.50,0.00,46.50,46.50,0.00,44.15,-25.00,2,-2.26e+03
0.00,-1103.75,0.00,69.75,69.75,0.00,33.45,-25.00,2,-3.37e+03
0.00,-836.25,0.00,93.00,93.00,0.00,45.23,-25.00,2,-4.20e+03
0.00,-1130.75,0.00,116.25,116.25,0.00,45.25,-25.00,2,-5.34e+03
0.00,-1131.25,0.00,139.50,139.50,0.00,44.99,-25.00,2,-6.47e+03
0.00,-1124.75,0.00,162.75,162.75,0.00,34.29,-25.00,2,-7.59e+03
0.00,-857.25,0.00,186.00,186.00,0.00,44.44,-25.00,2,-8.45e+03
0.00,-1111.00,0.00,209.25,209.25,0.00,41.59,-25.00,2,-9.56e+03
0.00,-1039.75,0.00,232.50,232.50,0.00,43.93,-25.00,2,-1.06e+04
0.00,-1098.25,0.00,255.75,255.75,0.00,38.38,-25.00,2,-1.17e+04
0.00,-959.50,0.00,279.00,279.00,0.00,40.06,-25.00,2,-1.27e+04
0.00,-1001.50,0.00,302.25,302.25,0.00,46.71,-25.00,2,-1.37e+04
0.00,-1167.75,0.00,325.50,325.50,0.00,50.51,-25.00,2,-1.48e+04
0.00,-1262.75,0.00,348.75,348.75,0.00,51.97,-25.00,2,-1.61e+04
0.00,-1299.25,0.00,372.00,372.00,0.00,45.92,-25.00,2,-1.74e+04
0.00,-1148.00,0.00,394.86,394.86,0.00,61.02,-25.00,2,-1.85e+04
0.00,0.00,0.00,394.45,394.45,0.00,70.74,0.00,1,-1.85e+04
0.00,0.00,0.00,394.04,394.04,0.00,70.65,0.00,1,-1.85e+04
0.00,0.00,0.00,393.63,393.63,0.00,74.36,0.00,1,-1.85e+04
0.29,1728.87,0.00,368.22,368.22,0.00,76.27,23.26,0,-1.68e+04
0.30,1773.28,0.00,342.84,342.84,0.00,85.83,23.26,0,-1.50e+04
0.33,1995.55,0.00,317.84,317.84,0.00,77.71,23.26,0,-1.30e+04
0.30,1806.76,0.00,292.84,292.84,0.00,83.68,23.26,0,-1.12e+04
122.74,1945.56,0.00,267.84,267.84,0.00,76.87,26.18,0,-9.16e+03
112.75,1787.23,0.00,242.84,242.84,0.00,55.29,26.18,0,-7.26e+03
81.10,0.00,0.00,242.84,242.84,0.00,31.71,2.93,1,-7.18e+03
0.00,-746.24,0.00,266.09,264.72,1.36,44.76,-23.53,2,-7.93e+03
0.00,-944.73,0.00,289.34,284.35,4.98,19.69,-21.11,2,-8.87e+03
0.00,-415.59,0.00,312.59,303.98,8.61,9.76,-21.11,2,-9.29e+03
0.00,-206.00,0.00,335.84,323.61,12.23,-0.01,-21.11,2,-9.49e+03
-0.00,0.21,0.00,359.09,343.24,15.85,0.48,-21.11,2,-9.49e+03
0.00,-9.99,0.00,382.34,362.60,19.73,-0.27,-20.82,2,-9.50e+03
-0.00,3.75,0.00,398.74,375.12,23.62,-2.49,-13.88,2,-9.50e+03
-6.22,0.00,0.00,399.88,374.70,25.18,-10.99,2.50,2,-9.51e+03
-40.05,0.00,0.00,399.96,374.70,25.26,-7.47,3.64,2,-9.55e+03
-22.89,0.00,0.00,399.97,374.70,25.27,-10.84,3.06,2,-9.57e+03
-33.27,0.00,0.00,399.97,374.70,25.27,-15.30,3.07,2,-9.60e+03
-46.97,0.00,0.00,399.97,374.70,25.27,-16.66,3.07,2,-9.65e+03
-51.14,0.00,0.00,399.97,374.70,25.27,-16.36,3.07,2,-9.70e+03
-45.99,0.00,0.00,399.97,374.70,25.27,-17.89,2.81,2,-9.75e+03
-50.30,0.00,0.00,399.97,374.70,25.27,-19.25,2.81,2,-9.80e+03
-54.12,0.00,0.00,399.97,374.70,25.27,-19.58,2.81,2,-9.85e+03
-55.05,0.00,0.00,399.97,374.70,25.27,-19.66,2.81,2,-9.91e+03
-52.67,0.00,0.00,399.97,374.70,25.27,-19.65,2.68,2,-9.96e+03
-52.65,0.00,0.00,399.97,374.70,25.27,-23.55,2.68,2,-1.00e+04
-63.10,0.00,0.00,399.97,374.70,25.27,-30.82,2.68,2,-1.01e+04
-82.57,0.00,0.00,399.97,374.70,25.27,-30.75,2.68,2,-1.02e+04
-73.17,0.00,0.00,399.97,374.70,25.27,-31.39,2.38,2,-1.02e+04
-74.69,0.00,0.00,399.97,374.70,25.27,-33.09,2.38,2,-1.03e+04
-78.73,0.00,0.00,399.97,374.70,25.27,-40.51,2.38,2,-1.04e+04
-96.39,0.00,0.00,399.97,374.70,25.27,-30.79,2.38,2,-1.05e+04
-70.07,0.00,0.00,399.97,374.70,25.27,-31.42,2.28,2,-1.06e+04
-71.50,0.00,0.00,399.97,374.70,25.27,-30.98,2.28,2,-1.06e+04
-70.50,0.00,0.00,399.97,374.70,25.27,-40.56,2.28,2,-1.07e+04
-92.30,0.00,0.00,399.97,374.70,25.27,-33.43,2.28,2,-1.08e+04
-74.00,0.00,0.00,399.97,374.70,25.27,-29.01,2.21,2,-1.09e+04
-64.22,0.00,0.00,399.97,374.70,25.27,-24.55,2.21,2,-1.09e+04
-54.34,0.00,0.00,399.97,374.70,25.27,-27.67,2.21,2,-1.10e+04
-61.25,0.00,0.00,399.97,374.70,25.27,-23.63,2.21,2,-1.10e+04
-44.96,0.00,0.00,399.97,374.70,25.27,-19.99,1.90,2,-1.11e+04
-38.03,0.00,0.00,399.97,374.70,25.27,-18.71,1.90,2,-1.11e+04
-35.60,0.00,0.00,399.97,374.70,25.27,-15.67,1.90,2,-1.12e+04
-29.81,0.00,0.00,399.97,374.70,25.27,-15.21,1.90,2,-1.12e+04
-25.34,0.00,0.00,399.97,374.70,25.27,-2.86,1.67,2,-1.12e+04
-4.77,0.00,0.00,399.97,374.70,25.27,0.26,1.67,2,-1.12e+04
0.43,-0.00,0.00,399.97,374.70,25.27,38.19,1.67,2,-1.12e+04
63.64,-0.00,0.00,399.97,374.70,25.27,24.43,1.67,2,-1.12e+04
4.50,-0.00,0.00,399.97,374.70,25.27,37.13,0.18,2,-1.11e+04
6.84,-0.00,0.00,399.97,374.70,25.27,59.06,0.18,2,-1.11e+04
37.34,0.00,0.00,399.55,374.70,24.85,79.23,1.26,1,-1.11e+04
50.10,1495.66,346.44,374.14,354.40,19.73,77.01,24.51,0,-9.21e+03
0.16,1512.16,278.33,348.75,332.90,15.85,80.43,23.25,0,-7.42e+03
0.17,1599.16,270.84,323.75,311.52,12.23,85.79,23.25,0,-5.55e+03
0.18,1705.73,288.89,298.75,290.14,8.61,91.69,23.25,0,-3.56e+03
0.20,1823.04,308.75,273.75,268.76,4.98,105.44,23.25,0,-1.42e+03
0.00,2096.43,355.05,248.75,247.38,1.36,93.34,23.25,0,1.03e+03
0.00,2051.74,118.41,223.75,223.75,0.00,88.78,23.25,0,3.20e+03
0.00,2064.14,0.00,198.75,198.75,0.00,72.48,23.25,0,5.26e+03
0.00,1685.16,0.00,173.75,173.75,0.00,78.71,23.25,0,6.95e+03
0.00,1830.01,0.00,148.75,148.75,0.00,71.53,23.25,0,8.78e+03
0.00,0.00,0.00,148.75,148.75,0.00,66.24,0.00,1,8.78e+03
0.00,0.00,0.00,148.75,148.75,0.00,55.72,0.00,1,8.78e+03
0.00,0.00,0.00,148.75,148.75,0.00,73.56,0.00,1,8.78e+03
0.00,1710.27,0.00,123.75,123.75,0.00,69.95,23.25,0,1.05e+04
0.00,0.00,0.00,123.75,123.75,0.00,64.32,0.00,1,1.05e+04
0.00,0.00,0.00,123.75,123.75,0.00,53.06,0.00,1,1.05e+04
0.00,-1326.50,0.00,147.00,147.00,0.00,70.18,-25.00,2,9.16e+03
0.00,0.00,0.00,147.00,147.00,0.00,62.14,0.00,1,9.16e+03
0.00,0.00,0.00,147.00,147.00,0.00,59.19,0.00,1,9.16e+03
0.00,0.00,0.00,147.00,147.00,0.00,54.77,0.00,1,9.16e+03
