solar_reward,grid_battery_reward,solar_battery_reward,soc,soc_grid,soc_solar,curr_lmp,net_load,a,total_rwd
0.00,-1136.25,0.00,23.25,23.25,0.00,45.14,-25.00,2,-1.14e+03
0.00,-1128.50,0.00,46.50,46.50,0.00,44.15,-25.00,2,-2.26e+03
0.00,-1103.75,0.00,69.75,69.75,0.00,33.45,-25.00,2,-3.37e+03
0.00,-836.25,0.00,93.00,93.00,0.00,45.23,-25.00,2,-4.20e+03
0.00,-1130.75,0.00,116.25,116.25,0.00,45.25,-25.00,2,-5.34e+03
0.00,-1131.25,0.00,139.50,139.50,0.00,44.99,-25.00,2,-6.47e+03
0.00,-1124.75,0.00,162.75,162.75,0.00,34.29,-25.00,2,-7.59e+03
0.00,-857.25,0.00,186.00,186.00,0.00,44.44,-25.00,2,-8.45e+03
0.00,-1111.00,0.00,209.25,209.25,0.00,41.59,-25.00,2,-9.56e+03
0.00,-1039.75,0.00,232.50,232.50,0.00,43.93,-25.00,2,-1.06e+04
0.00,-1098.25,0.00,255.75,255.75,0.00,38.38,-25.00,2,-1.17e+04
0.00,-959.50,0.00,279.00,279.00,0.00,40.06,-25.00,2,-1.27e+04
0.00,-1001.50,0.00,302.25,302.25,0.00,46.71,-25.00,2,-1.37e+04
0.00,-1167.75,0.00,325.50,325.50,0.00,50.51,-25.00,2,-1.48e+04
0.00,-1262.75,0.00,348.75,348.75,0.00,51.97,-25.00,2,-1.61e+04
0.00,-1299.25,0.00,372.00,372.00,0.00,45.92,-25.00,2,-1.74e+04
0.00,-1148.00,0.00,394.86,394.86,0.00,61.02,-25.00,2,-1.85e+04
0.00,0.00,0.00,394.45,394.45,0.00,70.74,0.00,1,-1.85e+04
0.00,1644.71,0.00,369.04,369.04,0.00,70.65,23.25,0,-1.69e+04
0.00,1642.61,0.00,343.66,343.66,0.00,74.36,23.25,0,-1.52e+04
0.29,1728.87,0.00,318.66,318.66,0.00,76.27,23.26,0,-1.35e+04
0.30,1773.28,0.00,293.66,293.66,0.00,85.83,23.26,0,-1.17e+04
0.33,1995.55,0.00,268.66,268.66,0.00,77.71,23.26,0,-9.75e+03
0.30,1806.76,0.00,243.66,243.66,0.00,83.68,23.26,0,-7.94e+03
122.74,1945.56,0.00,218.66,218.66,0.00,76.87,26.18,0,-5.88e+03
112.75,1787.23,0.00,193.66,193.66,0.00,55.29,26.18,0,-3.98e+03
81.10,0.00,0.00,193.66,193.66,0.00,31.71,2.93,1,-3.89e+03
0.00,-746.24,0.00,216.91,215.54,1.36,44.76,-23.53,2,-4.64e+03
0.00,-944.73,0.00,240.16,235.17,4.98,19.69,-21.11,2,-5.59e+03
0.00,-415.59,0.00,263.41,254.80,8.61,9.76,-21.11,2,-6.00e+03
0.00,-206.00,0.00,286.66,274.43,12.23,-0.01,-21.11,2,-6.21e+03
-0.00,0.21,0.00,309.91,294.06,15.85,0.48,-21.11,2,-6.21e+03
0.00,-9.99,0.00,333.16,313.42,19.73,-0.27,-20.82,2,-6.22e+03
-0.00,5.62,0.00,356.41,332.79,23.62,-2.49,-20.82,2,-6.21e+03
-0.00,51.85,0.00,379.66,352.15,27.51,-10.99,-20.82,2,-6.16e+03
-0.00,182.00,0.00,398.55,367.16,31.39,-7.47,-16.56,2,-5.98e+03
-12.33,0.00,0.00,399.87,366.74,33.13,-10.84,1.65,2,-5.99e+03
-32.20,0.00,0.00,399.96,366.74,33.22,-15.30,2.97,2,-6.02e+03
-46.86,0.00,0.00,399.97,366.74,33.23,-16.66,3.06,2,-6.07e+03
-51.13,0.00,0.00,399.97,366.74,33.23,-16.36,3.07,2,-6.12e+03
-45.99,0.00,0.00,399.97,366.74,33.23,-17.89,2.81,2,-6.17e+03
-50.30,0.00,0.00,399.97,366.74,33.23,-19.25,2.81,2,-6.22e+03
-54.12,0.00,0.00,399.97,366.74,33.23,-19.58,2.81,2,-6.27e+03
-55.05,0.00,0.00,399.97,366.74,33.23,-19.66,2.81,2,-6.32e+03
-52.67,0.00,0.00,399.97,366.74,33.23,-19.65,2.68,2,-6.38e+03
-52.65,0.00,0.00,399.97,366.74,33.23,-23.55,2.68,2,-6.43e+03
-63.10,0.00,0.00,399.97,366.74,33.23,-30.82,2.68,2,-6.49e+03
-82.57,0.00,0.00,399.97,366.74,33.23,-30.75,2.68,2,-6.58e+03
-73.17,0.00,0.00,399.97,366.74,33.23,-31.39,2.38,2,-6.65e+03
-74.69,0.00,0.00,399.97,366.74,33.23,-33.09,2.38,2,-6.72e+03
-78.73,0.00,0.00,399.97,366.74,33.23,-40.51,2.38,2,-6.80e+03
-96.39,0.00,0.00,399.97,366.74,33.23,-30.79,2.38,2,-6.90e+03
-70.07,0.00,0.00,399.97,366.74,33.23,-31.42,2.28,2,-6.97e+03
-71.50,0.00,0.00,399.97,366.74,33.23,-30.98,2.28,2,-7.04e+03
-70.50,0.00,0.00,399.97,366.74,33.23,-40.56,2.28,2,-7.11e+03
-92.30,0.00,0.00,399.97,366.74,33.23,-33.43,2.28,2,-7.20e+03
-74.00,0.00,0.00,399.97,366.74,33.23,-29.01,2.21,2,-7.28e+03
-64.22,0.00,0.00,399.97,366.74,33.23,-24.55,2.21,2,-7.34e+03
-54.34,0.00,0.00,399.97,366.74,33.23,-27.67,2.21,2,-7.40e+03
-61.25,0.00,0.00,399.97,366.74,33.23,-23.63,2.21,2,-7.46e+03
-44.96,0.00,0.00,399.97,366.74,33.23,-19.99,1.90,2,-7.50e+03
-38.03,0.00,0.00,399.97,366.74,33.23,-18.71,1.90,2,-7.54e+03
-35.60,0.00,0.00,399.97,366.74,33.23,-15.67,1.90,2,-7.58e+03
-29.81,0.00,0.00,399.97,366.74,33.23,-15.21,1.90,2,-7.61e+03
-25.34,0.00,0.00,399.97,366.74,33.23,-2.86,1.67,2,-7.63e+03
-4.77,0.00,0.00,399.97,366.74,33.23,0.26,1.67,2,-7.64e+03
0.43,-0.00,0.00,399.97,366.74,33.23,38.19,1.67,2,-7.64e+03
63.64,-0.00,0.00,399.97,366.74,33.23,24.43,1.67,2,-7.57e+03
4.50,-0.00,0.00,399.97,366.74,33.23,37.13,0.18,2,-7.57e+03
6.84,-0.00,0.00,399.97,366.74,33.23,59.06,0.18,2,-7.56e+03
37.34,0.00,0.00,399.55,366.74,32.81,79.23,1.26,1,-7.52e+03
50.10,1481.86,360.23,374.14,346.63,27.51,77.01,24.51,0,-5.63e+03
0.16,1512.16,278.33,348.75,325.13,23.62,80.43,23.25,0,-3.84e+03
0.17,1579.31,290.69,323.75,304.01,19.73,85.79,23.25,0,-1.97e+03
0.18,1684.56,310.06,298.75,282.90,15.85,91.69,23.25,0,2.49e+01
0.20,1823.04,308.75,273.75,261.52,12.23,105.44,23.25,0,2.16e+03
0.00,2096.43,355.05,248.75,240.14,8.61,93.34,23.25,0,4.61e+03
0.00,1855.85,314.31,223.75,218.76,4.98,88.78,23.25,0,6.78e+03
0.00,1765.18,298.95,198.75,197.38,1.36,72.48,23.25,0,8.84e+03
0.00,1593.21,91.95,173.75,173.75,0.00,78.71,23.25,0,1.05e+04
0.00,1830.01,0.00,148.75,148.75,0.00,71.53,23.25,0,1.24e+04
0.00,1663.07,0.00,123.75,123.75,0.00,66.24,23.25,0,1.40e+04
0.00,0.00,0.00,123.75,123.75,0.00,55.72,0.00,1,1.40e+04
0.00,0.00,0.00,123.75,123.75,0.00,73.56,0.00,1,1.40e+04
0.00,1710.27,0.00,98.75,98.75,0.00,69.95,23.25,0,1.57e+04
0.00,1626.34,0.00,73.75,73.75,0.00,64.32,23.25,0,1.74e+04
0.00,0.00,0.00,73.75,73.75,0.00,53.06,0.00,1,1.74e+04
0.00,-1326.50,0.00,97.00,97.00,0.00,70.18,-25.00,2,1.60e+04
0.00,1631.69,0.00,72.00,72.00,0.00,62.14,23.25,0,1.77e+04
0.00,0.00,0.00,72.00,72.00,0.00,59.19,0.00,1,1.77e+04
