solar_reward,grid_battery_reward,solar_battery_reward,soc,soc_grid,soc_solar,curr_lmp,net_load,a,total_rwd
0.00,-1114.75,0.00,23.25,23.25,0.00,44.29,-25.00,2,-1.11e+03
0.00,-1107.25,0.00,46.50,46.50,0.00,43.40,-25.00,2,-2.22e+03
0.00,-1085.00,0.00,69.75,69.75,0.00,32.92,-25.00,2,-3.31e+03
0.00,-823.00,0.00,93.00,93.00,0.00,44.10,-25.00,2,-4.13e+03
0.00,-1102.50,0.00,116.25,116.25,0.00,44.18,-25.00,2,-5.23e+03
0.00,-1104.50,0.00,139.50,139.50,0.00,44.27,-25.00,2,-6.34e+03
0.00,-1106.75,0.00,162.75,162.75,0.00,33.86,-25.00,2,-7.44e+03
0.00,-846.50,0.00,186.00,186.00,0.00,43.60,-25.00,2,-8.29e+03
0.00,-1090.00,0.00,209.25,209.25,0.00,40.94,-25.00,2,-9.38e+03
0.00,-1023.50,0.00,232.50,232.50,0.00,43.29,-25.00,2,-1.04e+04
0.00,-1082.25,0.00,255.75,255.75,0.00,37.84,-25.00,2,-1.15e+04
0.00,-946.00,0.00,279.00,279.00,0.00,39.65,-25.00,2,-1.24e+04
0.00,-991.25,0.00,302.25,302.25,0.00,46.22,-25.00,2,-1.34e+04
0.00,-1155.50,0.00,325.50,325.50,0.00,49.78,-25.00,2,-1.46e+04
0.00,-1244.50,0.00,348.75,348.75,0.00,51.60,-25.00,2,-1.58e+04
0.00,0.00,0.00,348.75,348.75,0.00,45.15,0.00,1,-1.58e+04
0.00,-1128.75,0.00,372.00,372.00,0.00,59.51,-25.00,2,-1.70e+04
0.00,0.00,0.00,371.61,371.61,0.00,69.33,0.00,1,-1.70e+04
0.00,1611.92,0.00,346.23,346.23,0.00,69.00,23.25,0,-1.53e+04
0.00,1604.25,0.00,321.23,321.23,0.00,70.58,23.25,0,-1.37e+04
0.00,1640.98,0.00,296.23,296.23,0.00,71.36,23.25,0,-1.21e+04
0.00,1659.12,0.00,271.23,271.23,0.00,80.96,23.25,0,-1.04e+04
0.00,1882.32,0.00,246.23,246.23,0.00,74.17,23.25,0,-8.55e+03
0.00,1724.45,0.00,221.23,221.23,0.00,83.68,23.25,0,-6.83e+03
0.00,1945.56,0.00,196.23,196.23,0.00,76.87,23.25,0,-4.88e+03
0.00,1787.23,0.00,171.23,171.23,0.00,55.29,23.25,0,-3.10e+03
0.00,0.00,0.00,171.23,171.23,0.00,31.71,0.00,1,-3.10e+03
0.00,-792.75,0.00,194.48,194.48,0.00,47.72,-25.00,2,-3.89e+03
0.00,-1193.00,0.00,217.73,217.73,0.00,41.82,-25.00,2,-5.08e+03
0.00,-1045.50,0.00,240.98,240.98,0.00,29.04,-25.00,2,-6.13e+03
0.00,-726.00,0.00,264.23,264.23,0.00,-0.01,-25.00,2,-6.85e+03
-0.00,0.25,0.00,287.48,287.48,0.00,27.42,-25.00,2,-6.85e+03
0.00,-685.50,0.00,310.73,310.73,0.00,9.43,-25.00,2,-7.54e+03
0.00,-235.75,0.00,333.98,333.98,0.00,3.46,-25.00,2,-7.77e+03
0.00,-86.50,0.00,357.23,357.23,0.00,-10.06,-25.00,2,-7.86e+03
-0.00,251.50,0.00,380.48,380.48,0.00,0.01,-25.00,2,-7.61e+03
0.00,-0.20,0.00,398.61,398.61,0.00,-9.03,-19.92,2,-7.61e+03
-0.00,16.34,0.00,399.87,399.87,0.00,-16.26,-1.81,2,-7.59e+03
-0.00,8.83,0.00,399.96,399.96,0.00,-17.62,-0.54,2,-7.58e+03
-0.00,8.01,0.00,399.97,399.97,0.00,-17.34,-0.45,2,-7.58e+03
-0.00,7.78,0.00,399.97,399.97,0.00,-19.01,-0.45,2,-7.57e+03
-0.00,8.52,0.00,399.97,399.97,0.00,-20.45,-0.45,2,-7.56e+03
-0.00,9.16,0.00,399.97,399.97,0.00,-20.76,-0.45,2,-7.55e+03
-0.00,9.30,0.00,399.97,399.97,0.00,-20.87,-0.45,2,-7.54e+03
-0.00,9.35,0.00,399.97,399.97,0.00,-20.86,-0.45,2,-7.53e+03
-0.00,9.35,0.00,399.97,399.97,0.00,-24.97,-0.45,2,-7.52e+03
-0.00,11.19,0.00,399.97,399.97,0.00,-32.72,-0.45,2,-7.51e+03
-0.00,14.66,0.00,399.97,399.97,0.00,-32.71,-0.45,2,-7.50e+03
-0.00,14.65,0.00,399.97,399.97,0.00,-33.35,-0.45,2,-7.48e+03
-0.00,14.94,0.00,399.97,399.97,0.00,-35.39,-0.45,2,-7.47e+03
-0.00,15.85,0.00,399.97,399.97,0.00,-43.48,-0.45,2,-7.45e+03
-0.00,19.48,0.00,399.97,399.97,0.00,-32.84,-0.45,2,-7.43e+03
-0.00,14.71,0.00,399.97,399.97,0.00,-33.52,-0.45,2,-7.42e+03
-0.00,15.02,0.00,399.97,399.97,0.00,-32.94,-0.45,2,-7.40e+03
-0.00,14.76,0.00,399.97,399.97,0.00,-43.55,-0.45,2,-7.39e+03
-0.00,19.51,0.00,399.97,399.97,0.00,-35.70,-0.45,2,-7.37e+03
-0.00,15.99,0.00,399.97,399.97,0.00,-30.77,-0.45,2,-7.35e+03
-0.00,13.78,0.00,399.97,399.97,0.00,-26.00,-0.45,2,-7.34e+03
-0.00,11.65,0.00,399.97,399.97,0.00,-29.38,-0.45,2,-7.33e+03
-0.00,13.16,0.00,399.97,399.97,0.00,-24.86,-0.45,2,-7.31e+03
-0.00,11.14,0.00,399.97,399.97,0.00,-21.05,-0.45,2,-7.30e+03
-0.00,9.43,0.00,399.97,399.97,0.00,-19.73,-0.45,2,-7.29e+03
-0.00,8.84,0.00,399.97,399.97,0.00,-16.36,-0.45,2,-7.28e+03
-0.00,7.33,0.00,399.97,399.97,0.00,-15.95,-0.45,2,-7.28e+03
-0.00,7.15,0.00,399.97,399.97,0.00,-3.00,-0.45,2,-7.27e+03
-0.00,1.34,0.00,399.97,399.97,0.00,0.28,-0.45,2,-7.27e+03
0.00,-0.13,0.00,399.97,399.97,0.00,39.30,-0.45,2,-7.27e+03
0.00,-17.61,0.00,399.97,399.97,0.00,23.91,-0.45,2,-7.29e+03
0.00,-10.71,0.00,399.97,399.97,0.00,36.17,-0.45,2,-7.30e+03
0.00,-16.20,0.00,399.97,399.97,0.00,56.75,-0.45,2,-7.31e+03
0.00,0.00,0.00,399.55,399.55,0.00,76.18,0.00,1,-7.31e+03
0.00,1771.19,0.00,374.14,374.14,0.00,71.11,23.25,0,-5.54e+03
0.00,1653.31,0.00,348.75,348.75,0.00,74.94,23.25,0,-3.89e+03
0.00,1742.36,0.00,323.75,323.75,0.00,79.83,23.25,0,-2.15e+03
0.00,1856.05,0.00,298.75,298.75,0.00,85.52,23.25,0,-2.90e+02
0.00,1988.34,0.00,273.75,273.75,0.00,98.88,23.25,0,1.70e+03
0.00,2298.96,0.00,248.75,248.75,0.00,88.06,23.25,0,4.00e+03
0.00,2047.39,0.00,223.75,223.75,0.00,84.23,23.25,0,6.04e+03
0.00,1958.35,0.00,198.75,198.75,0.00,68.29,23.25,0,8.00e+03
0.00,1587.74,0.00,173.75,173.75,0.00,76.86,23.25,0,9.59e+03
0.00,1786.99,0.00,148.75,148.75,0.00,69.89,23.25,0,1.14e+04
0.00,1624.94,0.00,123.75,123.75,0.00,64.28,23.25,0,1.30e+04
0.00,0.00,0.00,123.75,123.75,0.00,54.26,0.00,1,1.30e+04
0.00,0.00,0.00,123.75,123.75,0.00,72.86,0.00,1,1.30e+04
0.00,1693.99,0.00,98.75,98.75,0.00,68.99,23.25,0,1.47e+04
0.00,1604.02,0.00,73.75,73.75,0.00,62.85,23.25,0,1.63e+04
0.00,0.00,0.00,73.75,73.75,0.00,52.42,0.00,1,1.63e+04
0.00,0.00,0.00,73.75,73.75,0.00,69.83,0.00,1,1.63e+04
0.00,1623.55,0.00,48.75,48.75,0.00,61.42,23.25,0,1.79e+04
0.00,0.00,0.00,48.75,48.75,0.00,58.42,0.00,1,1.79e+04
0.00,0.00,0.00,48.75,48.75,0.00,54.13,0.00,1,1.79e+04
0.00,0.00,0.00,48.75,48.75,0.00,70.74,0.00,1,1.79e+04
0.00,1644.70,0.00,23.75,23.75,0.00,69.54,23.25,0,1.96e+04
0.00,1535.71,0.00,0.00,0.00,0.00,68.37,22.08,0,2.11e+04
0.00,0.00,0.00,0.00,0.00,0.00,53.44,0.00,0,2.11e+04
0.00,0.00,0.00,0.00,0.00,0.00,61.96,0.00,1,2.11e+04
0.00,0.00,0.00,0.00,0.00,0.00,64.66,0.00,1,2.11e+04
0.00,0.00,0.00,0.00,0.00,0.00,64.75,0.00,1,2.11e+04
0.00,0.00,0.00,0.00,0.00,0.00,53.99,0.00,1,2.11e+04
0.00,0.00,0.00,0.00,0.00,0.00,64.60,0.00,1,2.11e+04
0.00,0.00,0.00,0.00,0.00,0.00,64.64,0.00,1,2.11e+04
0.00,0.00,0.00,0.00,0.00,0.00,67.12,0.00,1,2.11e+04
0.00,0.00,0.00,0.00,0.00,0.00,54.94,0.00,1,2.11e+04
0.00,0.00,0.00,0.00,0.00,0.00,63.78,0.00,1,2.11e+04
0.00,0.00,0.00,0.00,0.00,0.00,67.33,0.00,1,2.11e+04
0.00,0.00,0.00,0.00,0.00,0.00,67.48,0.00,1,2.11e+04
0.00,0.00,0.00,0.00,0.00,0.00,62.14,0.00,0,2.11e+04
0.00,0.00,0.00,0.00,0.00,0.00,57.62,0.00,1,2.11e+04
0.00,0.00,0.00,0.00,0.00,0.00,67.26,0.00,1,2.11e+04
0.00,0.00,0.00,0.00,0.00,0.00,68.09,0.00,1,2.11e+04
0.00,0.00,0.00,0.00,0.00,0.00,66.12,0.00,0,2.11e+04
0.00,0.00,0.00,0.00,0.00,0.00,67.87,0.00,1,2.11e+04
0.00,0.00,0.00,0.00,0.00,0.00,67.65,0.00,0,2.11e+04
0.00,0.00,0.00,0.00,0.00,0.00,74.31,0.00,0,2.11e+04
0.00,0.00,0.00,0.00,0.00,0.00,74.52,0.00,0,2.11e+04
0.00,0.00,0.00,0.00,0.00,0.00,75.89,0.00,0,2.11e+04
0.00,0.00,0.00,0.00,0.00,0.00,94.75,0.00,0,2.11e+04
0.00,0.00,0.00,0.00,0.00,0.00,105.99,0.00,0,2.11e+04
0.00,0.00,0.00,0.00,0.00,0.00,89.59,0.00,0,2.11e+04
0.00,0.00,0.00,0.00,0.00,0.00,76.21,0.00,0,2.11e+04
0.00,0.00,0.00,0.00,0.00,0.00,71.02,0.00,0,2.11e+04
0.00,0.00,0.00,0.00,0.00,0.00,51.14,0.00,0,2.11e+04
0.00,0.00,0.00,0.00,0.00,0.00,27.02,0.00,1,2.11e+04
0.00,-675.50,0.00,23.25,23.25,0.00,48.26,-25.00,2,2.04e+04
0.00,-1206.50,0.00,46.50,46.50,0.00,71.11,-25.00,2,1.92e+04
0.00,1653.31,0.00,21.50,21.50,0.00,38.43,23.25,0,2.09e+04
0.00,-960.75,0.00,44.75,44.75,0.00,5.49,-25.00,2,1.99e+04
0.00,-137.25,0.00,68.00,68.00,0.00,35.69,-25.00,2,1.98e+04
0.00,-892.25,0.00,91.25,91.25,0.00,51.47,-25.00,2,1.89e+04
0.00,0.00,0.00,91.25,91.25,0.00,7.44,0.00,1,1.89e+04
0.00,-186.00,0.00,114.50,114.50,0.00,-6.63,-25.00,2,1.87e+04
-0.00,165.75,0.00,137.75,137.75,0.00,0.01,-25.00,2,1.89e+04
0.00,-0.25,0.00,161.00,161.00,0.00,-6.96,-25.00,2,1.89e+04
-0.00,174.00,0.00,184.25,184.25,0.00,-16.61,-25.00,2,1.90e+04
-0.00,415.25,0.00,207.50,207.50,0.00,-20.82,-25.00,2,1.95e+04
-0.00,520.50,0.00,230.75,230.75,0.00,-20.88,-25.00,2,2.00e+04
-0.00,522.00,0.00,254.00,254.00,0.00,-20.71,-25.00,2,2.05e+04
-0.00,517.75,0.00,277.25,277.25,0.00,-21.13,-25.00,2,2.10e+04
-0.00,528.25,0.00,300.50,300.50,0.00,-26.33,-25.00,2,2.15e+04
-0.00,658.25,0.00,323.75,323.75,0.00,-20.95,-25.00,2,2.22e+04
-0.00,523.75,0.00,347.00,347.00,0.00,-21.27,-25.00,2,2.27e+04
-0.00,531.75,0.00,370.25,370.25,0.00,-21.54,-25.00,2,2.33e+04
-0.00,538.50,0.00,393.11,393.11,0.00,-30.52,-25.00,2,2.38e+04
-0.00,222.65,0.00,399.49,399.49,0.00,-23.99,-7.30,2,2.40e+04
-0.00,22.23,0.00,399.94,399.94,0.00,-26.21,-0.93,2,2.40e+04
-0.00,12.62,0.00,399.97,399.97,0.00,-26.84,-0.48,2,2.41e+04
-0.00,12.09,0.00,399.97,399.97,0.00,-35.36,-0.45,2,2.41e+04
-0.00,15.85,0.00,399.97,399.97,0.00,-23.46,-0.45,2,2.41e+04
-0.00,10.51,0.00,399.97,399.97,0.00,-23.59,-0.45,2,2.41e+04
-0.00,10.57,0.00,399.97,399.97,0.00,-23.90,-0.45,2,2.41e+04
-0.00,10.71,0.00,399.97,399.97,0.00,-33.26,-0.45,2,2.41e+04
-0.00,14.90,0.00,399.97,399.97,0.00,-22.66,-0.45,2,2.41e+04
-0.00,10.15,0.00,399.97,399.97,0.00,-20.78,-0.45,2,2.41e+04
-0.00,9.31,0.00,399.97,399.97,0.00,-20.77,-0.45,2,2.41e+04
-0.00,9.30,0.00,399.97,399.97,0.00,-20.85,-0.45,2,2.42e+04
-0.00,9.34,0.00,399.97,399.97,0.00,-20.47,-0.45,2,2.42e+04
-0.00,9.17,0.00,399.97,399.97,0.00,-20.19,-0.45,2,2.42e+04
-0.00,9.04,0.00,399.97,399.97,0.00,-13.13,-0.45,2,2.42e+04
-0.00,5.88,0.00,399.97,399.97,0.00,-11.48,-0.45,2,2.42e+04
-0.00,5.14,0.00,399.97,399.97,0.00,-7.40,-0.45,2,2.42e+04
-0.00,3.32,0.00,399.97,399.97,0.00,-0.01,-0.45,2,2.42e+04
-0.00,0.00,0.00,399.97,399.97,0.00,24.07,-0.45,2,2.42e+04
0.00,-10.78,0.00,399.97,399.97,0.00,42.72,-0.45,2,2.42e+04
