solar_reward,grid_reward,soc,curr_lmp,net_load,a,total_rwd
0.00,-1067.25,25.00,41.56,-25.00,2,-1.07e+03
0.00,-1039.00,50.00,40.13,-25.00,2,-2.11e+03
0.00,-1003.25,75.00,39.25,-25.00,2,-3.11e+03
0.00,-981.25,100.00,41.87,-25.00,2,-4.09e+03
0.00,-1046.75,125.00,41.78,-25.00,2,-5.14e+03
0.00,-1044.50,150.00,41.27,-25.00,2,-6.18e+03
0.00,-1031.75,175.00,40.23,-25.00,2,-7.21e+03
0.00,-1005.75,200.00,40.87,-25.00,2,-8.22e+03
0.00,-1021.75,225.00,40.79,-25.00,2,-9.24e+03
0.00,-1019.75,250.00,40.68,-25.00,2,-1.03e+04
0.00,-1017.00,275.00,39.76,-25.00,2,-1.13e+04
0.00,-994.00,300.00,40.10,-25.00,2,-1.23e+04
0.00,-1002.50,325.00,40.36,-25.00,2,-1.33e+04
0.00,-1009.00,350.00,40.89,-25.00,2,-1.43e+04
0.00,-1022.25,375.00,41.44,-25.00,2,-1.53e+04
0.00,-1036.00,400.00,42.38,-25.00,2,-1.63e+04
0.00,-0.00,400.00,43.33,0.00,2,-1.63e+04
0.00,-0.00,400.00,46.24,0.00,2,-1.63e+04
0.00,-0.00,400.00,51.93,0.00,2,-1.63e+04
0.00,-0.00,400.00,49.26,0.00,2,-1.63e+04
0.00,-0.00,400.00,51.48,0.00,2,-1.63e+04
0.00,-0.00,400.00,48.78,0.00,2,-1.63e+04
0.00,-0.00,400.00,43.24,0.00,2,-1.63e+04
0.00,-0.00,400.00,42.45,0.00,2,-1.63e+04
0.00,-0.00,400.00,37.29,0.00,2,-1.63e+04
0.00,-0.00,400.00,29.54,0.00,2,-1.63e+04
0.00,-0.00,400.00,17.57,0.00,2,-1.63e+04
0.00,-0.00,400.00,21.96,0.00,2,-1.63e+04
0.00,-0.00,400.00,15.78,0.00,2,-1.63e+04
0.00,-0.00,400.00,16.82,0.00,2,-1.63e+04
0.00,-0.00,400.00,11.77,0.00,2,-1.63e+04
0.00,-0.00,400.00,19.84,0.00,2,-1.63e+04
0.00,-0.00,400.00,19.97,0.00,2,-1.63e+04
0.00,-0.00,400.00,18.58,0.00,2,-1.63e+04
0.00,-0.00,400.00,22.55,0.00,2,-1.63e+04
0.00,-0.00,400.00,23.78,0.00,2,-1.63e+04
0.00,-0.00,400.00,21.51,0.00,2,-1.63e+04
0.00,-0.00,400.00,24.37,0.00,2,-1.63e+04
0.00,-0.00,400.00,25.37,0.00,2,-1.63e+04
0.00,-0.00,400.00,25.31,0.00,2,-1.63e+04
0.00,-0.00,400.00,23.11,0.00,2,-1.63e+04
0.00,-0.00,400.00,31.51,0.00,2,-1.63e+04
0.00,-0.00,400.00,33.79,0.00,2,-1.63e+04
0.00,-0.00,400.00,26.15,0.00,2,-1.63e+04
0.00,-0.00,400.00,33.97,0.00,2,-1.63e+04
0.00,-0.00,400.00,37.26,0.00,2,-1.63e+04
0.00,-0.00,400.00,36.36,0.00,2,-1.63e+04
0.00,-0.00,400.00,28.45,0.00,2,-1.63e+04
